dist,kind,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
100,huerfanas,"Encendedores y sopletes",2584,1,,37990,"Encendedor High Polish Green Logo - Zippo",19387,2,,44990,"Encendedor Zippo Classic High Polish Purple"
100,a-producto,"Vaporizadores herbales",12641,1,,129990,"Vaporizador Miqro Blue-Da Vinci",15741,3,10539,178192,"Vaporizador DaVinci IQC (Color a elección)"
101,a-producto,"Bandejas y ceniceros",32697,1,,23990,"Neon Tray Bandeja Enrolado Led -Bonglab - Rosa",36022,2,5732,29990,"BongLab Bandeja Neon Tray - Iluminadas - Verde"
102,a-producto,"Accesorios de extraccion",18581,2,10443,349990,"Puffco Vaporizador Proxy",31769,1,,293990,"Vaporizador Proxy -Puffco - DESSERT"
102,a-producto,"Accesorios de extraccion",31769,1,,293990,"Vaporizador Proxy -Puffco - DESSERT",34361,2,10443,349990,"Puffco Vaporizador Proxy - Negro"
102,a-producto,"Accesorios de extraccion",31769,1,,293990,"Vaporizador Proxy -Puffco - DESSERT",34362,2,10662,349990,"Puffco Vaporizador Proxy - Storm"
102,a-producto,"Bongs",31306,1,,37990,"Classic Ice Pro-Bonglab - Rosa",34692,2,5772,39990,"Bonglab K288 Classic Ice Pro 35cm - Morado"
104,huerfanas,"Bongs",31705,1,,22990,"Pocket Bell -Bonglab - Rosa",34421,2,,25990,"BongLab Bong X5 Pocket Bell 17cm - Ámbar"
104,a-producto,"Conos y blunts",16013,3,10568,1304,"Blunt Hemp Wrap Rolling Stones Berry Gelato | PIRANHA",17946,1,,1390,"Blunt Hemp Wrap Terpenes Rolling Stones Lemon Haze- Lio"
104,huerfanas,"Filtros y boquillas",12332,1,,490,"Tips Filtro De Carton Amarillo Unidad-Soulblime",19452,2,,390,"Boquillas Pre-picadas Soulblime 50 uds."
104,huerfanas,"Otros parafernalia",24127,1,,59990,"Wall Mount -Stundenglass",25412,2,,64990,"Stündenglass V2 Wall Mount"
104,a-producto,"Otros parafernalia",25412,2,,64990,"Stündenglass V2 Wall Mount",33406,1,10670,71990,"Wall Mount -Stundenglass - COOKIES"
104,a-producto,"Papelillos",12375,1,10731,990,"Papelillo Sabor Strawberry 1 1/4 Unidad",37795,2,,1190,"Juicy Jays Papelillos de Sabores 1 1/4 - Very Cherry"
104,huerfanas,"Pipas",12093,1,,17990,"Pipa Pyrex Phantomix 94- Top Smoke",15553,3,,14990,"Pipa Pyrex Top Smoke | PIRANHA"
105,a-producto,"Accesorios de extraccion",18183,1,10494,201990,"Vaporizador Pivot Mocha-Puffco",34365,2,,174990,"Vaporizador Puffco Pivot - Slate"
105,huerfanas,"Pipas",2719,1,,17990,"Pipa Pyrex Hellstorm 112- Top Smoke",15553,3,,14990,"Pipa Pyrex Top Smoke | PIRANHA"
106,a-producto,"Pipas",9052,1,6010,1990,"Hitter Signature- Calvo Glass",35314,2,,1990,"Calvo Pipa Hitter 12mm - Hunter"
107,huerfanas,"Filtros y boquillas",13413,2,,91990,"Kasvi Filtro de Carbon Activo 150 x 400",31750,1,,94990,"Filtro De Carbón Activado-Kasvi - 150X400 MM"
107,a-producto,"Moledores",727,1,5510,13990,"Herb Saver Grinder Pink Large 1Un -Blazy Susan",33624,2,,13390,"Blazy Susan Moledor Contenedor Mini Herb Saver Rosado -"
107,a-producto,"Vaporizadores herbales",12643,1,,146990,"Vaporizador Miqro Gray-Da Vinci",15741,3,10539,178192,"Vaporizador DaVinci IQC (Color a elección)"
108,a-producto,"Papelillos",16011,3,10732,1891,"Papelillo Sweetie Watermelon King Size Lion Rolling Cir",20261,2,,2390,"LRC Papelillos Flavour Big Smoke - Sabores"
108,huerfanas,"Vaporizadores herbales",32820,1,,129990,"Vaporizador Miqro C -Da Vinci - Rosa",36261,2,,129990,"Vaporizador DaVinci Miqro C - Herbal - Rosado"
109,a-producto,"Encendedores y sopletes",17959,1,10480,6490,"Encendedor Metálico Deep Blue",35870,2,,6990,"Encendedor Clipper Metálico Turquoise - Opaco"
110,a-producto,"Bongs",11562,4,10659,646800,"Compra tu Gravity Bong Stundenglass【hookah】más barata✅",23150,1,,499990,"Gravity Hookah -Stundenglass"
110,a-producto,"Bongs",11562,4,10659,646800,"Compra tu Gravity Bong Stundenglass【hookah】más barata✅",31801,1,,499990,"Gravity Hookah -Stundenglass - COOKIES"
110,huerfanas,"Bongs",31661,1,,27990,"Jelly Drop-Bonglab - azul",33840,2,,29990,"Bonglab Bong Jelly Drop 20cm - Negro"
110,a-producto,"Encendedores y sopletes",12686,1,10277,44990,"Fire Heart Design-Zippo",19483,2,,36990,"Encendedor Zippo Classic Purple Matte"
111,huerfanas,"Repuestos para bongs y vaporizadores",20046,2,,21990,"Sploofy Filtro de repuesto 1ud. - Cartridge replacement",26768,3,,21242,"Repuesto Filtro de Humo Personal Sploofy Pro | PIRANHA"
111,a-producto,"Vaporizadores herbales",12636,1,5741,279990,"Vaporizador Crafty Plus-Storz &amp; Bickel",16083,3,,257591,"Vaporizador Crafty - STORZ & BICKEL"
112,a-producto,"Bongs",17171,1,10487,29990,"Saucer Rig-Bonglab",33955,2,,27990,"Bonglab Bong Saucer Rig 13cm - Rosado"
112,a-producto,"Bongs",18031,1,,399990,"Gravity Hookah Cookies-Studenglass Caja Rota",37005,2,10723,479990,"Dr. Greenthumb&#39;s X Stündenglass Gravity Hookah"
112,a-producto,"Bongs",23150,1,,499990,"Gravity Hookah -Stundenglass",37005,2,10723,479990,"Dr. Greenthumb&#39;s X Stündenglass Gravity Hookah"
112,a-producto,"Bongs",31801,1,,499990,"Gravity Hookah -Stundenglass - COOKIES",37005,2,10723,479990,"Dr. Greenthumb&#39;s X Stündenglass Gravity Hookah"
112,a-producto,"Encendedores y sopletes",12632,1,,44990,"Sunset Black Light Design-Zippo",18505,2,10425,37990,"Encendedor Zippo Jack Daniel&#39;s Label"
112,huerfanas,"Filtros y boquillas",12333,1,,490,"Tips Filtro De Carton Celeste Unidad-Soulblime",19452,2,,390,"Boquillas Pre-picadas Soulblime 50 uds."
112,a-producto,"Moledores",1054,3,10110,19992,"Moledor Cerámico Galaxy Square 5cm 2 Partes | PIRANHA",33768,2,,25790,"Moledor Galaxy Square Cerámico - Plateado"
113,a-producto,"Encendedores y sopletes",32895,1,,14990,"Soplete Phantom Mini-Ignite - Rojo",34266,2,10663,15990,"Ignite Soplete Phantom Mini - Blanco"
114,a-producto,"Bongs",2307,4,6560,30000,"Bong Unikorn de silicona de PieceMaker - GB The Green B",35395,2,,40990,"PMG Bong Unikorn 14cm - Blanco"
114,huerfanas,"Contenedores y estuches",32125,1,,3490,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - TA",34971,2,,2990,"Bonglab Contenedor De Extractos 4ml - Blanco"
115,a-producto,"Accesorios de extraccion",11054,3,10560,579591,"Vaporizador Puffco New Peak Pro Onyx 3DXL Limited | PIR",17191,1,,597990,"New Peak Pro Storm + 3Dxl-Puffco"
115,a-producto,"Accesorios de extraccion",11054,3,10560,579591,"Vaporizador Puffco New Peak Pro Onyx 3DXL Limited | PIR",31795,1,,597990,"New Peak Pro Pearl + 3Dxl-Puffco - Storm"
115,a-producto,"Bongs",14196,3,10487,26591,"Bong Saucer Rig | PIRANHA",33955,2,,27990,"Bonglab Bong Saucer Rig 13cm - Rosado"
115,huerfanas,"Bongs",31703,1,,22990,"Pocket Bell -Bonglab - verde",34421,2,,25990,"BongLab Bong X5 Pocket Bell 17cm - Ámbar"
116,huerfanas,"Contenedores y estuches",1356,3,,11990,"Tubo Case Galaxy Porta Joint",37349,2,,11990,"Case Galaxy Contenedor Pre-roll - Plateado"
116,a-producto,"Moledores",29039,1,10096,2490,"Moledor Plastico 3 Partes - Bulldog - azul",33547,2,,2490,"Moledor plástico Bulldog 3 partes 60mm - Verde"
116,a-producto,"Pipas",9052,1,6010,1990,"Hitter Signature- Calvo Glass",35313,2,,1990,"Calvo Pipa Hitter 12mm - Good Vibes Rosado"
117,a-producto,"Bongs",858,3,5776,61191,"Bong Jelly Fish",31666,1,,67990,"Jelly Fish-Bonglab - Negro"
117,a-producto,"Bongs",915,3,5536,52191,"Bong Beaker Tree Perc 35cm",34432,2,,52191,"Calvo Glass Bong Beaker Tree Perc M 35cm - Verde"
117,a-producto,"Contenedores y estuches",816,1,,21990,"Jar Blanco Gold Ink 4Oz-Bonglab Re: Stash",13462,2,10293,25990,"BongLab Contenedor Re:Stash 8oz"
117,huerfanas,"Contenedores y estuches",816,1,,21990,"Jar Blanco Gold Ink 4Oz-Bonglab Re: Stash",35303,2,,25990,"BongLab Contenedor Re:Stash 8oz - Verde"
117,a-producto,"Encendedores y sopletes",12558,1,10276,34990,"Encendedor Royal Blue Matte Logo - Zippo",19480,2,,33990,"Encendedor Pipa Black Matte Zippo"
118,huerfanas,"Encendedores y sopletes",689,3,,41990,"Encendedor Zippo High Polish Green Chameleon",2584,1,,37990,"Encendedor High Polish Green Logo - Zippo"
119,a-producto,"Encendedores y sopletes",1336,3,5726,5452,"Encendedor Clipper Metálico | PIRANHA",19292,2,,6990,"Encendedor Clipper Metálico Classic Cars"
119,a-producto,"Papelillos",15733,3,10646,1226,"Papelillo Electric Grape Lion Rolling Circus",35145,2,,1390,"LRC Papelillos Flavour 1 1/4 - Sabores - Cherry"
120,a-producto,"Accesorios de extraccion",2086,2,10560,539990,"Puffco Vaporizador New Peak Pro + Chamber 3D XL",31830,1,,549990,"New Peak Pro (Color a elección)-Puffco - Flourish"
120,a-producto,"Accesorios de extraccion",13536,2,,69990,"Vaporizador Yocan Vane 2",32808,1,10679,65990,"VAPORIZADOR HIERBA SECA VANE- YOCAN - Morado"
120,a-producto,"Bongs",744,1,5533,79990,"Bong Water Splash Green 50Cm Bonglab",34662,2,,69990,"BongLab Bong K598 Splash Water 50cm - Turquesa"
121,huerfanas,"Bongs",31451,1,,27990,"R3 Mini-Bonglab - CLEAR",33944,2,,21241,"BongLab Bong R3 Mini 10.5cm - Rosado"
121,a-producto,"Conos y blunts",16014,3,10567,1304,"Blunt Hemp Wrap Rolling Stones Electric Grape | PIRANHA",17946,1,,1390,"Blunt Hemp Wrap Terpenes Rolling Stones Lemon Haze- Lio"
121,huerfanas,"Encendedores y sopletes",12610,1,,33990,"Encendedor Classic Brick Logo - Zippo",19914,2,,35990,"Encendedor Zippo Merlot"
121,a-producto,"Encendedores y sopletes",12957,2,10277,39990,"Encendedor Zippo Fire Heart Design",17975,1,,44990,"Kiss Design-Zippo"
121,a-producto,"Encendedores y sopletes",15926,3,10429,33990,"Encendedor Zippo Orange Matte",19480,2,,33990,"Encendedor Pipa Black Matte Zippo"
123,a-producto,"Contenedores y estuches",12193,1,10292,21990,"Jar Verde 4Oz-Bonglab Re: Stash",35303,2,,25990,"BongLab Contenedor Re:Stash 8oz - Verde"
124,a-producto,"Encendedores y sopletes",17961,1,10482,6490,"Encendedor Metalico Rose Gold",35870,2,,6990,"Encendedor Clipper Metálico Turquoise - Opaco"
125,a-producto,"Accesorios de extraccion",31770,1,,293990,"Vaporizador Proxy -Puffco - FLOURINSH",34362,2,10662,349990,"Puffco Vaporizador Proxy - Storm"
125,a-producto,"Conos y blunts",15684,3,,1304,"Blunt Wrap Grape Lion Rolling Circus | PIRANHA",17941,1,10542,1490,"Blunt Hemp Wrap Gorilla Gl Terpens- Lion Rolling Circus"
125,a-producto,"Papelillos",15766,3,10272,1290,"Papelillo RAW Black King Size | PIRANHA",19519,2,,1490,"Papelillos Gizeh Queen Size + Tips"
126,a-producto,"Bongs",13164,2,5774,72990,"BongLab Bong K42 Heavy Trash 53cm",31571,1,,59990,"The Trash Big Logo-Bonglab - Verde azulado"
126,a-producto,"Bongs",31571,1,,59990,"The Trash Big Logo-Bonglab - Verde azulado",34657,2,5774,72990,"BongLab Bong K42 Heavy Trash 53cm - Negro"
126,a-producto,"Contenedores y estuches",12181,1,5760,3990,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab",34972,2,,2990,"Bonglab Contenedor De Extractos 4ml - Negro"
126,a-producto,"Contenedores y estuches",12187,1,10294,29990,"Jar Negro 12Oz-Bonglab Re: Stash",35287,2,,29990,"BongLab Contenedor Re:Stash 12oz - Celeste"
126,huerfanas,"Contenedores y estuches",32124,1,,3490,"Contenedor Extractos Clear Tapa Blanca 4Ml-Bonglab - TA",34972,2,,2990,"Bonglab Contenedor De Extractos 4ml - Negro"
126,a-producto,"Encendedores y sopletes",3529,3,10237,4990,"Encendedor Zengaz Jet Flame ZL-3",13437,2,,4490,"Zengaz Encendedor Soplete Leaves 2"
126,a-producto,"Moledores",503,3,10349,19992,"Moledor Aluminio G-Rollz 4 Partes 5cm | PIRANHA",4648,2,,23990,"G-Rollz Moledor Banksy Torch Boy 53mm"
126,huerfanas,"Pipas",2705,1,,17990,"Pipa Pyrex Dominionx 96- Top Smoke",15553,3,,14990,"Pipa Pyrex Top Smoke | PIRANHA"
126,huerfanas,"Repuestos para bongs y vaporizadores",2628,1,,8990,"Malla Para Extractos Pequeñas 4 Piezas Para Todos Los D",19350,2,,8490,"Storz &amp; Bickel Juego De Almohadillas Para Extracció"
126,huerfanas,"Vaporizadores herbales",3152,4,,64800,"Bong Fénix Bonglab Pyrex | Bong de Borosilicato Chile",13292,2,,74990,"Bonglab Bong KE9 Water Fenix 46cm"
127,a-producto,"Encendedores y sopletes",12609,1,10241,34990,"Encendedor Classic Black &amp; Red-Zippo",19483,2,,36990,"Encendedor Zippo Classic Purple Matte"
128,a-producto,"Bandejas y ceniceros",12671,1,10533,1990,"Cenicero Diseños Surtido-Soulblime",36147,2,,2190,"Soulblime Cenicero Metálico - Diseños - Ojo"
128,a-producto,"Bongs",2254,4,10164,47200,"Bong HeadShot Bonglab 40cm Pyrex Negro Azul Morado | Gr",32959,1,,65990,"Double Shot -Bonglab - ESMERALD"
128,huerfanas,"Bongs",31702,1,,22990,"Pocket Bell -Bonglab - azul",34421,2,,25990,"BongLab Bong X5 Pocket Bell 17cm - Ámbar"
128,a-producto,"Bongs",31738,1,10466,29990,"Tough Beaker -Bonglab - Morado",34726,2,,40491,"Calvo Glass Bong Beaker Premium 35cm - Verde"
128,a-producto,"Contenedores y estuches",417,1,10522,21990,"Jar Rosado 4Oz-Bonglab Re: Stash",35301,2,,23990,"BongLab Contenedor Re:Stash 4oz - Verde Cedro"
128,a-producto,"Moledores",1054,3,10110,19992,"Moledor Cerámico Galaxy Square 5cm 2 Partes | PIRANHA",33767,2,,25790,"Moledor Galaxy Square Cerámico - Menta"
128,a-producto,"Moledores",1235,2,5503,47990,"Moledor Galaxy Quartz 63 mm",31002,1,,34990,"Moledor New Pro Model Grinder V2.0-Galaxy - LAVANDER"
128,a-producto,"Repuestos para bongs y vaporizadores",12152,1,,4390,"BOQUILLA PARA SOLID VALVE 3U-STORZ &amp; BICKEL",15916,3,10398,3990,"Válvula Solid Valve Juego de Pieza Labial"
129,a-producto,"Bandejas y ceniceros",32693,1,5732,23990,"Neon Tray Bandeja Enrolado Led -Bonglab - Azul",36021,2,,29990,"BongLab Bandeja Neon Tray - Iluminadas - Rosado"
129,a-producto,"Bongs",2332,4,5518,66600,"Bong Trash Clear Black de Bonglab - GB The Green Brand",31571,1,,59990,"The Trash Big Logo-Bonglab - Verde azulado"
129,a-producto,"Bongs",2999,2,,69990,"Calvo Glass Bong Beaker Dragon Ball Z 40cm",17903,1,10345,51990,"Golden Beaker Black-Bonglab"
129,a-producto,"Contenedores y estuches",12189,1,10293,25990,"Jar Negro 8Oz-Bonglab Re: Stash",35303,2,,25990,"BongLab Contenedor Re:Stash 8oz - Verde"
129,huerfanas,"Encendedores y sopletes",753,1,,8490,"Pack Colección 4+Butano -Clipper",20050,2,,9990,"Torch Kooziee - Protector De Soplete"
129,huerfanas,"Encendedores y sopletes",753,1,,8490,"Pack Colección 4+Butano -Clipper",37107,2,,9990,"Torch Kooziee - Protector De Soplete - Negro"
129,a-producto,"Papelillos",15733,3,10646,1226,"Papelillo Electric Grape Lion Rolling Circus",35147,2,,1390,"LRC Papelillos Flavour 1 1/4 - Sabores - Chocolate"
130,a-producto,"Conos y blunts",15684,3,,1304,"Blunt Wrap Grape Lion Rolling Circus | PIRANHA",18033,1,10544,1490,"Hemp Wrap Terpenes Tangie - Lion Rolling Circus"
130,huerfanas,"Contenedores y estuches",13241,2,,42990,"Ozeta 4×4 Chestbag con clave XL - Anti-olor",31298,1,,37990,"Bolso 4X4 Con Clave -Ozeta - Negro"
131,a-producto,"Bongs",405,1,5775,39990,"Honey Waffle -Bonglab",33838,2,,39990,"Bonglab Bong Honey Waffle 23cm - Emerald"
131,huerfanas,"Bongs",14263,3,,21111,"Bong R2",31704,1,,22990,"Pocket Bell -Bonglab - Negro"
131,a-producto,"Bongs",31598,1,5775,39990,"Honey Waffle -Bonglab - Negro",33838,2,,39990,"Bonglab Bong Honey Waffle 23cm - Emerald"
131,a-producto,"Bongs",31655,1,5774,66990,"Heavy Trash -Bonglab - azul",34658,2,,72990,"BongLab Bong K42 Heavy Trash 53cm - Turquesa"
