offerId;tienda;titulo;brandKeyOferta;productId;brandKeyProducto;modelSlug;lado;tipo;canonicoPropuesto;urlQueCambiaria;pierdeTienda;veredicto;evidencia
35293;Fumetas;BongLab Contenedor Re:Stash16oz - Ocean Tie Dye;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35294;Fumetas;BongLab Contenedor Re:Stash16oz - Magenta;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35296;Fumetas;BongLab Contenedor Re:Stash4oz - Ocean Tie Dye;bonglab;10292;re-stash;jar-4oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35300;Fumetas;BongLab Contenedor Re:Stash4oz - Verde;bonglab;10292;re-stash;jar-4oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35304;Fumetas;BongLab Contenedor Re:Stash8oz - Morado;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35305;Fumetas;BongLab Contenedor Re:Stash8oz - Blanco;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
35306;Fumetas;BongLab Contenedor Re:Stash8oz - Negro;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Fumetas usa BongLab para producto Re: Stash (variante color)
817;Astro Growshop;Jar Ocean Tie Dye16Oz-Bonglab Re: Stash;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12184;Astro Growshop;Jar Amarillo12Oz-Bonglab Re: Stash;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12186;Astro Growshop;Jar Naranjo16Oz-Bonglab Re: Stash;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12187;Astro Growshop;Jar Negro12Oz-Bonglab Re: Stash;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12188;Astro Growshop;Jar Negro16Oz-Bonglab Re: Stash;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12189;Astro Growshop;Jar Negro8Oz-Bonglab Re: Stash;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12192;Astro Growshop;Jar Verde16Oz-Bonglab Re: Stash;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12193;Astro Growshop;Jar Verde4Oz-Bonglab Re: Stash;bonglab;10292;re-stash;jar-4oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
12154;Astro Growshop;Jar Negro Magenta16Oz-Bonglab Re: Stash;bonglab;10295;re-stash;jar-16oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
427;Astro Growshop;Jar Rasta Tie Dye12Oz-Bonglab Re: Stash;bonglab;10294;re-stash;jar-12oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab
2676;Astro Growshop;Jar Blanco Gold Ink8Oz-Bonglab Re: Stash;bonglab;10293;re-stash;jar-8oz;OFERTA-MAL;BRANDKEY-OFERTA-MAL;re-stash;-;no;CORREGIR-MARCA;Astro Growshop vende Re: Stash como BongLab (duplicado de2676 vs12202)
2674;Astro Growshop;Gas Butano Ultra Refinado X9 Premium-Calvo Glass;calvo;10311;special-blue;gas-9x-300ml;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro
765;Astro Growshop;Soplete Mini Rubber2.0 -Calvo Glass;calvo;10310;special-blue;mini-rubber-2-0;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro
78067;Astro Growshop;Soplete Mini Rubber2.0 -Calvo Glass - BLUE;calvo;10310;special-blue;mini-rubber-2-0;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
78068;Astro Growshop;Soplete Mini Rubber2.0 -Calvo Glass - GREEN;calvo;10310;special-blue;mini-rubber-2-0;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
78070;Astro Growshop;Soplete Mini Rubber2.0 -Calvo Glass - RED;calvo;10310;special-blue;mini-rubber-2-0;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
32149;Astro Growshop;Soplete Mini Rubber2.0 -Calvo Glass - ORANGE;calvo;10310;special-blue;mini-rubber-2-0;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
18127;Astro Growshop;Soplete Bernie Variedades;calvo;10483;special-blue;bernie-wild-free;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue Bernie vendido como Calvo Glass en Astro
12523;Astro Growshop;Soplete Monster Pro Doble Llama -Calvo Glass;calvo;10754;special-blue;monster-pro-doble-llama;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue Monster Pro vendido como Calvo Glass en Astro
32567;Astro Growshop;Soplete Monster Pro Doble Llama -Calvo Glass - azul;calvo;10754;special-blue;monster-pro-doble-llama;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
32568;Astro Growshop;Soplete Monster Pro Doble Llama -Calvo Glass - Morado;calvo;10754;special-blue;monster-pro-doble-llama;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
32569;Astro Growshop;Soplete Monster Pro Doble Llama -Calvo Glass - Rojo;calvo;10754;special-blue;monster-pro-doble-llama;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro (color)
12583;Astro Growshop;Soplete Rubber Mod Orange-Calvo Glass;calvo;10661;special-blue;mod-rubber;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Soplete Special Blue vendido como Calvo Glass en Astro
19832;Fumetas;Vaporizador Yocan Hit - Herbal;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit
36603;Fumetas;Vaporizador Yocan Hit - Herbal - Negro;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit (color)
36604;Fumetas;Vaporizador Yocan Hit - Herbal - Azul;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit (color)
36605;Fumetas;Vaporizador Yocan Hit - Herbal - Champán;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit (color)
36606;Fumetas;Vaporizador Yocan Hit - Herbal - Rojo;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit (color)
36607;Fumetas;Vaporizador Yocan Hit - Herbal - Plateado;cabo;10892;yocan;vaporizer-hit;OFERTA-MAL;BRANDKEY-OFERTA-MAL;yocan;-;no;CORREGIR-MARCA;Fumetas usa marca casa "cabo" para Yocan Hit (color)
32289;Astro Growshop;The Boss Con Candado Clave20 Cm -Dime Bags - Verde;calvo;10491;dime-bags;the-boss-20cm;OFERTA-MAL;BRANDKEY-OFERTA-MAL;dime-bags;-;no;CORREGIR-MARCA;Dime Bags vendido como Calvo Glass en Astro (URL dice dime-bags)
78257;Astro Growshop;The Boss Con Candado Clave20 Cm -Dime Bags - RED;calvo;10491;dime-bags;the-boss-20cm;OFERTA-MAL;BRANDKEY-OFERTA-MAL;dime-bags;-;no;CORREGIR-MARCA;Dime Bags vendido como Calvo Glass en Astro (color)
32290;Astro Growshop;The Boss Con Candado Clave20 Cm -Dime Bags - Rojo;calvo;10491;dime-bags;the-boss-20cm;OFERTA-MAL;BRANDKEY-OFERTA-MAL;dime-bags;-;no;CORREGIR-MARCA;Dime Bags vendido como Calvo Glass en Astro (color)
23561;Astro Growshop;The Boss Con Candado Clave20 Cm -Dime Bags;calvo;10491;dime-bags;the-boss-20cm;OFERTA-MAL;BRANDKEY-OFERTA-MAL;dime-bags;-;no;CORREGIR-MARCA;Dime Bags vendido como Calvo Glass en Astro
1336;Piranha;Encendedor Clipper Metálico | PIRANHA;storz-bickel;10747;clipper;metalico-volcano;OFERTA-MAL;BRANDKEY-OFERTA-MAL;clipper;-;no;CORREGIR-MARCA;Clipper "Volcano" (edición especial) etiquetado como Storz-Bickel en Piranha
36794;Fumetas;Encendedor Clipper Metálico Volcano - Opaco;storz-bickel;10747;clipper;metalico-volcano;OFERTA-MAL;BRANDKEY-OFERTA-MAL;clipper;-;no;CORREGIR-MARCA;Clipper Volcano etiquetado como Storz-Bickel en Fumetas (color)
36795;Fumetas;Encendedor Clipper Metálico Volcano - Brillante;storz-bickel;10747;clipper;metalico-volcano;OFERTA-MAL;BRANDKEY-OFERTA-MAL;clipper;-;no;CORREGIR-MARCA;Clipper Volcano etiquetado como Storz-Bickel en Fumetas (color)
19907;Fumetas;Encendedor Clipper Metálico Volcano;storz-bickel;10747;clipper;metalico-volcano;OFERTA-MAL;BRANDKEY-OFERTA-MAL;clipper;-;no;CORREGIR-MARCA;Clipper Volcano etiquetado como Storz-Bickel en Fumetas
3140;GrowBarato Chile;Insert Banger Calvo Cuarzo Transparente |15mm y20mm;calvo;10605;calvo-glass;clear-insert-banger;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;calvo-glass;/productos/calvo-glass/clear-insert-banger;no;NECESITA-OK-USUARIO;Alias calvo/calvo-glass: mismo producto. URL pública usa calvo-glass, decisión del usuario
17904;Astro Growshop;Insert Banger Clear-Calvo;calvo;10605;calvo-glass;clear-insert-banger;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;calvo-glass;/productos/calvo-glass/clear-insert-banger;no;NECESITA-OK-USUARIO;Alias calvo/calvo-glass
13185;Fumetas;Calvo Bong Mushroom Implosion Rig30cm;calvo;10637;calvo-glass;mushroom-implosion-rig-30cm;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;calvo-glass;/productos/calvo-glass/mushroom-implosion-rig-30cm;no;NECESITA-OK-USUARIO;Alias calvo/calvo-glass
12630;Astro Growshop;Rig Mushroom Implossion-Calvo Glass;calvo;10637;calvo-glass;mushroom-implosion-rig-30cm;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;calvo-glass;/productos/calvo-glass/mushroom-implosion-rig-30cm;no;NECESITA-OK-USUARIO;Alias calvo/calvo-glass
12992;Fumetas;Sploofy Pro Filtro Personal;bukket;10528;sploofy;pro;OFERTA-MAL;BRANDKEY-OFERTA-MAL;sploofy;-;no;CORREGIR-MARCA;Sploofy Pro etiquetado como "bukket" en Fumetas
36570;Fumetas;Sploofy Pro Filtro Personal - Aqua;bukket;10528;sploofy;pro;OFERTA-MAL;BRANDKEY-OFERTA-MAL;sploofy;-;no;CORREGIR-MARCA;Sploofy Pro etiquetado como "bukket" en Fumetas (color)
36571;Fumetas;Sploofy Pro Filtro Personal - Rojo;bukket;11007;sploofy;personal-pro-ii;OFERTA-MAL;BRANDKEY-OFERTA-MAL;sploofy;-;no;CORREGIR-MARCA;Sploofy Personal Pro II etiquetado como "bukket" en Fumetas (color)
36572;Fumetas;Sploofy Pro Filtro Personal - Negro;bukket;11007;sploofy;personal-pro-ii;OFERTA-MAL;BRANDKEY-OFERTA-MAL;sploofy;-;no;CORREGIR-MARCA;Sploofy Personal Pro II etiquetado como "bukket" en Fumetas (color)
31580;Astro Growshop;Bateria Para Cartridge Rosca510- Galaxy - azul;galaxy;10638;unknown;bateria-galaxy-510;PRODUCTO-MAL;BRANDKEY-OFERTA-MAL;galaxy;-;no;CORREGIR-MARCA;Producto tiene brandKey=unknown (incorrecto), oferta tiene brandKey=galaxy (correcto). Producto debería tener brandKey=galaxy
31579;Astro Growshop;Bateria Para Cartridge Rosca510- Galaxy - Blanco;galaxy;10638;unknown;bateria-galaxy-510;OFERTA-MAL;BRANDKEY-OFERTA-MAL;galaxy;-;no;CORREGIR-MARCA;Producto tiene brandKey=unknown, oferta tiene brandKey=galaxy correcto
12658;Astro Growshop;Bateria Para Cartridge Rosca510- Galaxy;galaxy;10638;unknown;bateria-galaxy-510;OFERTA-MAL;BRANDKEY-OFERTA-MAL;galaxy;-;no;CORREGIR-MARCA;Producto tiene brandKey=unknown, oferta tiene brandKey=galaxy correcto
14377;Piranha;Batería Galaxy Cartridge Pen | PIRANHA;galaxy;10638;unknown;bateria-galaxy-510;OFERTA-MAL;BRANDKEY-OFERTA-MAL;galaxy;-;no;CORREGIR-MARCA;Producto tiene brandKey=unknown, oferta tiene brandKey=galaxy correcto
305;Piranha;Papelillo Celulosa Transparente11/4;c-thru;10707;lion-rolling-circus;celulosa-transparente-1-1-4;OFERTA-MAL;BRANDKEY-OFERTA-MAL;lion-rolling-circus;-;no;CORREGIR-MARCA;C-Thru es línea de Lion Rolling Circus, oferta usa sub-marca
15776;Piranha;Papelillo4:20 Celulosa Transparente11/4 Lion Rolling Circus | PIRANHA;c-thru;10708;lion-rolling-circus;celulosa-transparente-4-20-block;OFERTA-MAL;BRANDKEY-OFERTA-MAL;lion-rolling-circus;-;no;CORREGIR-MARCA;C-Thru es línea de Lion Rolling Circus
11580;GrowBarato Chile;Papelillo Lion Rolling Circus Transparent Super Size13x5 | Celulosa Transparente;c-thru;10709;lion-rolling-circus;celulosa-transparente-big-smoke;OFERTA-MAL;BRANDKEY-OFERTA-MAL;lion-rolling-circus;-;no;CORREGIR-MARCA;C-Thru es línea de Lion Rolling Circus
12867;Fumetas;Hemper Gaming Flower Bong18cm;clipper;10229;hemper;gaming-flower;OFERTA-MAL;BRANDKEY-OFERTA-MAL;hemper;-;no;CORREGIR-MARCA;Bong Hemper etiquetado como "clipper" en Fumetas
12826;Fumetas;Hemper Bong Lucky Money Cat13cm;clipper;10230;hemper;lucky-money-cat;OFERTA-MAL;BRANDKEY-OFERTA-MAL;hemper;-;no;CORREGIR-MARCA;Bong Hemper etiquetado como "clipper" en Fumetas
12866;Fumetas;Hemper Bong Wish Ball18cm;clipper;10231;hemper;wish-ball;OFERTA-MAL;BRANDKEY-OFERTA-MAL;hemper;-;no;CORREGIR-MARCA;Bong Hemper etiquetado como "clipper" en Fumetas
11562;GrowBarato Chile;Compra tu Gravity Bong Stundenglass hookah más barata;stundenglass;10659;cookies;stundenglass-gravity-hookah;AMBOS-BIEN;AMBOS-BIEN-SON-ALIAS;stundenglass;-;no;NO-TOCAR;Colaboración Cookies × Stündenglass. Producto usa cookies como brandKey pero es fabricado por Stündenglass. Ambos válidos
26780;Piranha;Wall Mount Gravity Hookah Stündenglass | PIRANHA;stundenglass;10670;cookies;stundenglass-wall-mount;AMBOS-BIEN;AMBOS-BIEN-SON-ALIAS;stundenglass;-;no;NO-TOCAR;Colaboración Cookies × Stündenglass
31803;Astro Growshop;Gravity Hookah -Stundenglass - DR GREENTHUMB;cookies;10723;stundenglass;gravity-hookah-dr-greenthumbs;AMBOS-BIEN;AMBOS-BIEN-SON-ALIAS;stundenglass;-;no;NO-TOCAR;Colaboración Cookies × Stündenglass. DR GREENTHUMB es colaboración con Cookies
31802;Astro Growshop;Gravity Hookah -Stundenglass - Negro;cookies;10722;stundenglass;gravity-hookah;AMBOS-BIEN;AMBOS-BIEN-SON-ALIAS;stundenglass;-;no;NO-TOCAR;Colaboración Cookies × Stündenglass
33407;Astro Growshop;Wall Mount -Stundenglass - SR GREENTHUMBS;cookies;10724;stundenglass;wall-mount-dr-greenthumbs;AMBOS-BIEN;AMBOS-BIEN-SON-ALIAS;stundenglass;-;no;NO-TOCAR;Colaboración Cookies × Stündenglass
18582;Fumetas;Vaporizador Puffco Pivot;integra-boost;10494;puffco;pivot;OFERTA-MAL;BRANDKEY-OFERTA-MAL;puffco;-;si;CORREGIR-MARCA;Puffco Pivot etiquetado como "integra-boost" en Fumetas. Producto tiene4 tiendas
34364;Fumetas;Vaporizador Puffco Pivot - Onyx;integra-boost;10494;puffco;pivot;OFERTA-MAL;BRANDKEY-OFERTA-MAL;puffco;-;si;CORREGIR-MARCA;Puffco Pivot etiquetado como "integra-boost" en Fumetas (color)
34365;Fumetas;Vaporizador Puffco Pivot - Slate;integra-boost;10494;puffco;pivot;OFERTA-MAL;BRANDKEY-OFERTA-MAL;puffco;-;si;CORREGIR-MARCA;Puffco Pivot etiquetado como "integra-boost" en Fumetas (color)
12562;Astro Growshop;The Wand-Dynavap;dynavap;10405;ispire;the-wand-adaptador-dynavap;OFERTA-MAL;MISLINK;ispire;-;no;CORREGIR-MARCA;The Wand es de Ispire (fabricante), DynaVap es otra empresa. Título dice DynaVap pero producto real es Ispire
13507;Fumetas;Ispire The Wand + Adaptador De Silicona Para Dynavap;dynavap;10405;ispire;the-wand-adaptador-dynavap;OFERTA-MAL;MISLINK;ispire;-;no;CORREGIR-MARCA;The Wand es de Ispire, oferta etiquetada como dynavap
14320;Piranha;DynaVap Ispire The Wand + Wand Adaptor | PIRANHA;dynavap;10405;ispire;the-wand-adaptador-dynavap;OFERTA-MAL;MISLINK;ispire;-;no;CORREGIR-MARCA;The Wand es de Ispire, oferta etiquetada como dynavap (el título menciona ambas marcas)
32911;Astro Growshop;Vaporizador para extractos Roam -G Pen - Negro;cookies;10541;g-pen;roam;OFERTA-MAL;BRANDKEY-OFERTA-MAL;g-pen;-;no;CORREGIR-MARCA;G Pen Roam etiquetado como "cookies" en Astro (colaboración?)
18103;Astro Growshop;Vaporizador para extractos Roam -G Pen;cookies;10541;g-pen;roam;OFERTA-MAL;BRANDKEY-OFERTA-MAL;g-pen;-;no;CORREGIR-MARCA;G Pen Roam etiquetado como "cookies" en Astro
92466;Astro Growshop;Vaporizador para extractos Roam -G Pen - BLACK;cookies;10541;g-pen;roam;OFERTA-MAL;BRANDKEY-OFERTA-MAL;g-pen;-;no;CORREGIR-MARCA;G Pen Roam etiquetado como "cookies" en Astro (color)
15922;Piranha;Encendedor Zippo Santa Cruz;santa-cruz-shredder;10426;zippo;santa-cruz-design;OFERTA-MAL;BRANDKEY-OFERTA-MAL;zippo;-;no;CORREGIR-MARCA;Zippo Santa Cruz Design: es un Zippo con diseño Santa Cruz Shredder. Marca canónica es zippo
17991;Astro Growshop;Santa Cruz-Zippo;santa-cruz-shredder;10426;zippo;santa-cruz-design;OFERTA-MAL;BRANDKEY-OFERTA-MAL;zippo;-;no;CORREGIR-MARCA;Zippo Santa Cruz Design: oferta etiquetada como santa-cruz-shredder pero es un Zippo
15931;Piranha;Blunt Wrap Double!! Platinum (2u) | PIRANHA;blunt-wrap;10402;platinum;double-platinum-blueberry-x2;OFERTA-MAL;BRANDKEY-OFERTA-MAL;platinum;-;no;CORREGIR-MARCA;Platinum es línea de Blunt Wrap, pero product.brandKey=platinum. Oferta usa marca paraguas
12001;Astro Growshop;Platinium X2 Blueberry1U- Blunt Wrap;blunt-wrap;10402;platinum;double-platinum-blueberry-x2;OFERTA-MAL;BRANDKEY-OFERTA-MAL;platinum;-;no;CORREGIR-MARCA;Platinum es línea de Blunt Wrap
16013;Piranha;Blunt Hemp Wrap Rolling Stones Berry Gelato | PIRANHA;blunt-wrap;10568;lion-rolling-circus;hemp-wrap-berry-gelato;OFERTA-MAL;BRANDKEY-OFERTA-MAL;lion-rolling-circus;-;no;CORREGIR-MARCA;Lion Rolling Circus Hemp Wrap etiquetado como "blunt-wrap" en Piranha
16014;Piranha;Blunt Hemp Wrap Rolling Stones Electric Grape | PIRANHA;blunt-wrap;10567;lion-rolling-circus;hemp-wrap-electric-grape;OFERTA-MAL;BRANDKEY-OFERTA-MAL;lion-rolling-circus;-;no;CORREGIR-MARCA;Lion Rolling Circus Hemp Wrap etiquetado como "blunt-wrap" en Piranha
12202;Astro Growshop;Papelillos100 Usd20Ud King Size Slim;empire;10641;empire-rolling-papers;100-usd-king-size-slim;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;empire-rolling-papers;/productos/empire-rolling-papers/100-usd-king-size-slim;no;NECESITA-OK-USUARIO;Alias empire/empire-rolling-papers. URL pública usa empire-rolling-papers, decisión del usuario
20231;Fumetas;Empire Rolling Papers Papelillos King Size;empire;10641;empire-rolling-papers;100-usd-king-size-slim;PRODUCTO-MAL;HUECO-ALIAS-PRODUCT;empire-rolling-papers;/productos/empire-rolling-papers/100-usd-king-size-slim;no;NECESITA-OK-USUARIO;Alias empire/empire-rolling-papers
1158;Astro Growshop;LIMPIADOR DE VAPO250ML FORMULA SECRETA;formula-secreta;10137;astro;cleaner-vaporizer-250ml;PRODUCTO-MAL;BRANDKEY-OFERTA-MAL;formula-secreta;-;no;CORREGIR-MARCA;Producto tiene brandKey=astro (incorrecto), oferta tiene formula-secreta (correcto). Producto debería ser formula-secreta
19786;Fumetas;Ozeta Hard Case Pequeño;boveda;10765;ozeta;hard-case-pequeno;OFERTA-MAL;BRANDKEY-OFERTA-MAL;ozeta;-;no;CORREGIR-MARCA;Ozeta Hard Case etiquetado como "boveda" en Fumetas
35561;Fumetas;Vaporizador DynaVap Kit G3;clipper;11012;dynavap;kit-g3;OFERTA-MAL;BRANDKEY-OFERTA-MAL;dynavap;-;no;CORREGIR-MARCA;DynaVap Kit G3 etiquetado como "clipper" en Fumetas
13057;Fumetas;Gas Butano Special Blue Ultra Refinado9X300ml;clipper;10311;special-blue;gas-9x-300ml;OFERTA-MAL;BRANDKEY-OFERTA-MAL;special-blue;-;no;CORREGIR-MARCA;Special Blue Gas etiquetado como "clipper" en Fumetas
3203;GrowBarato Chile;Dual Dabbers Classic Bongalab - GB The Green Brand;gb-the-green-brand;10614;bonglab;dabber-classic;OFERTA-MAL;BRANDKEY-OFERTA-MAL;bonglab;-;no;CORREGIR-MARCA;GB The Green Brand es marca casa de GrowBarato para producto BongLab
17206;Astro Growshop;NEW PEAK PRO LINK - PUFFCO;pulsar;10558;puffco;peak-pro-link-onyx;OFERTA-MAL;BRANDKEY-OFERTA-MAL;puffco;-;no;CORREGIR-MARCA;Puffco Peak Pro Link etiquetado como "pulsar" en Astro
