candidata,tipo,ofertas_fg,offerIds_ejemplo,tiendas_con_token,huerfanas_otras,curadas_otras,colision,veredicto,motivo
"conejo",RUIDO,6,87474;87475;87476,2,1,0,"no",DESCARTAR,"Diseño de moledor ('Moledor Unico Conejo XL'); es forma, no marca"
"oso",RUIDO,6,87480;87481;87482,2,1,0,"extractor-silencioso (kasvi)",DESCARTAR,"Diseño de moledor ('Moledor Unico Oso'); en Productos aparece en extractor Kasvi; no es marca"
"killer",RUIDO,5,87759;87761;87761,2,1,0,"no",DESCARTAR,"'Phoenix Killer' — línea/modelo de Phoenix, no marca independiente"
"straw",RUIDO,6,88502;88503;88504,5,53,8,"terpenes-strawberry (lion-rolling)",DESCARTAR,"Substring de 'strawberry' en vaporizadores; en Productos es terpenes Lion Rolling Circus"
"rosca",RUIDO,5,88385;88386;88388,4,2,2,"no",DESCARTAR,"'Rosca 510' = conector/thread; descriptor técnico, no marca"
"5ml",RUIDO,5,87600;87610;87612,4,20,2,"bencina-125ml (zippo)",DESCARTAR,"Medida de volumen; en Productos aparece en bencina Zippo; no es marca"
"oro",RUIDO,5,87373;87547;87548,6,12,17,"oro (varios)",DESCARTAR,"Descriptor de material/color ('Líneas de Oro 24K'); no es marca"
"monster",RUIDO,18,87782;87870;87888,5,9,7,"monster (calvo,bonglab,clipper)",DESCARTAR,"Modelo de múltiples marcas: Calvo Monster, BongLab Elty8 Monster, Clipper Sea Monsters"
"mushroom",RUIDO,12,87461;87462;87463,5,4,2,"mushroom-implosion (calvo-glass)",DESCARTAR,"Modelo: Calvo Glass Mushroom Implosion Rig (P10637)"
"devil",RUIDO,6,87771;87772;87774,3,0,4,"metalico-silver-devil (clipper)",DESCARTAR,"Modelo: Clipper Metalico Silver Devil (P10749)"
"demon",RUIDO,5,88170;88171;88172,3,0,4,"metalico-demon-gradient (clipper)",DESCARTAR,"Modelo: Clipper Metalico Demon Gradient (P10721)"
"naranjo",RUIDO,5,87725;87730;88170,3,14,8,"no",DESCARTAR,"Color descriptor (naranja/orange); en títulos es color del producto"
"stash",RUIDO,10,87613;88059;88060,4,9,0,"re-stash-jar (bonglab)",DESCARTAR,"Modelo: BongLab Re-Stash Jar (P10522); descriptor de contenedor"
"quot",RUIDO,10,87356;87743;87745,2,0,2,"no",DESCARTAR,"HTML entity &quot; en títulos; artefacto de encoding, no token real"
