offerId,titulo_fg,precio_fg,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
87533,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Negro",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
87534,"Vaporizador De Hierbas Yocan Hit 2 - Pantalla Led Smart - Morado",54990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.2,VINCULAR,"hit-2 comparable a Vaporizador herbal Hit 2; ratio 1.2x; SUMA-TIENDA"
87535,"Vaporizador De Hierbas Yocan Vane 100% Original Yocantech - Negro",49990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.4,VINCULAR,"vane-original comparable a Vaporizador herbal Vane 2; ratio 1.4x; SUMA-TIENDA"
87540,"Vaporizador Herbal Yocan Vane 2 - Azul Acero",54990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.27,VINCULAR,"vane-2 comparable a Vaporizador herbal Vane 2; ratio 1.27x; SUMA-TIENDA"
87541,"Vaporizador Herbal Yocan Vane 2 - Amarillo",54990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.27,VINCULAR,"vane-2 comparable a Vaporizador herbal Vane 2; ratio 1.27x; SUMA-TIENDA"
87542,"Vaporizador Herbal Yocan Vane 2 - Violeta",54990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.27,VINCULAR,"vane-2 comparable a Vaporizador herbal Vane 2; ratio 1.27x; SUMA-TIENDA"
87543,"Vaporizador Herbal Yocan Vane 2 - Blanco",54990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.27,VINCULAR,"vane-2 comparable a Vaporizador herbal Vane 2; ratio 1.27x; SUMA-TIENDA"
87544,"Vaporizador Herbal Yocan Vane 2 - Negro",49990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.4,VINCULAR,"vane-2 comparable a Vaporizador herbal Vane 2; ratio 1.4x; SUMA-TIENDA"
87560,"Boquilla de Enfriamiento Vaporizador Herbal Airis Herbva 5g",11990,10883,weecke/boquilla-fenix-2-0,2,no,ya-tiene-tienda,2.83,NO-VINCULAR,"Yocan Iris es batería para cartuchos; weecke/boquilla-fenix-2-0 no es batería — categorías distintas"
87561,"Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit 2",9990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,6.61,NO-VINCULAR,"Ratio precio 6.61x demasiado alto — productos probablemente distintos"
87651,"Vaporizador Para Hierbas Yocan Hit - Plateado",30990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.13,NECESITA-FOTO,"Yocan Hit (original) es modelo anterior al Hit 2; verificar si son compatibles"
87652,"Vaporizador Para Hierbas Yocan Hit - Dorado",30990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.13,NECESITA-FOTO,"Yocan Hit (original) es modelo anterior al Hit 2; verificar si son compatibles"
87653,"Vaporizador Para Hierbas Yocan Hit - Azul",30990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.13,NECESITA-FOTO,"Yocan Hit (original) es modelo anterior al Hit 2; verificar si son compatibles"
87657,"Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Celeste",29990,10312,puffco/hot-knife,4,si,SUMA-TIENDA,2.4,NECESITA-FOTO,"Yocan Blade vs Puffco Hot Knife: ratio precio 2.4x — verificar si son el mismo producto"
87658,"Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Morado",29990,10312,puffco/hot-knife,4,si,SUMA-TIENDA,2.4,NECESITA-FOTO,"Yocan Blade vs Puffco Hot Knife: ratio precio 2.4x — verificar si son el mismo producto"
87659,"Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Rojo",29990,10312,puffco/hot-knife,4,si,SUMA-TIENDA,2.4,NECESITA-FOTO,"Yocan Blade vs Puffco Hot Knife: ratio precio 2.4x — verificar si son el mismo producto"
87660,"Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Silver",29990,10312,puffco/hot-knife,4,si,SUMA-TIENDA,2.4,NECESITA-FOTO,"Yocan Blade vs Puffco Hot Knife: ratio precio 2.4x — verificar si son el mismo producto"
87661,"Hot Knife Dabber Eléctrico Para Extracciones | Yocan Blade. - Negro",29990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,1.1,VINCULAR,"blade comparable a Hot Knife dabber eléctrico Dirk; ratio 1.1x; SUMA-TIENDA"
87784,"Boquilla de Enfriamiento Vaporizador Herbal Airis Nokiva",24990,10887,airistech/boquilla-nokiva,2,no,SUMA-TIENDA,4.17,NO-VINCULAR,"Yocan Iris es batería para cartuchos; airistech/boquilla-nokiva no es batería — categorías distintas"
87909,"Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Gradiente",24990,10882,airistech/dabble,2,no,ya-tiene-tienda,1,NO-VINCULAR,"Yocan Iris es batería para cartuchos; airistech/dabble no es batería — categorías distintas"
87911,"Vaporizador Extracciones En Bongs Airis Dabble - Airistech - Aleatorio",24990,10882,airistech/dabble,2,no,ya-tiene-tienda,1,NO-VINCULAR,"Yocan Iris es batería para cartuchos; airistech/dabble no es batería — categorías distintas"
87948,"Boquilla de Enfriamiento Vaporizador Herbal Yocan Hit",5990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,11.02,NECESITA-FOTO,"Yocan Hit (original) es modelo anterior al Hit 2; verificar si son compatibles"
88024,"Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Silver",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"Yocan Ziva Pro es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.33x"
88026,"Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Yellow",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"Yocan Ziva Pro es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.33x"
88027,"Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Purple Gradient",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"Yocan Ziva Pro es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.33x"
88028,"Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Blue Gradient",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"Yocan Ziva Pro es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.33x"
88030,"Vaporizador Yocan Ziva Pro Para Cartridges Rosca 510 - Black",19990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.33,VINCULAR,"Yocan Ziva Pro es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.33x"
88136,"Vaporizador Extracciones Yocan Pocket - Negro",79990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.14,NO-VINCULAR,"Yocan Pocket es para extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
88138,"Vaporizador Extracciones Yocan Pocket - Rosa",79990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.21,NO-VINCULAR,"Yocan Pocket es para extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88140,"Vaporizador Extracciones Yocan Pocket - Azul",79990,10503,yocan/pocket,4,si,ya-tiene-tienda,1.19,NO-VINCULAR,"Congelado (4 tiendas) y ya tiene esa tienda"
88141,"Vaporizador Extracciones Yocan Pocket - Blanco",79990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.21,NO-VINCULAR,"Yocan Pocket es para extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88201,"Vaporizador Airis Mystica Ace Para Cartridges - Blue Gradient",14990,10720,airistech/bateria-mystica-ace,2,no,SUMA-TIENDA,1.27,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería Mystica Ace; ratio 1.27x"
88205,"Vaporizador Airis Mystica Ace Para Cartridges - Silk White",14990,10720,airistech/bateria-mystica-ace,2,no,SUMA-TIENDA,1.27,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería Mystica Ace; ratio 1.27x"
88206,"Vaporizador Airis Mystica Ace Para Cartridges - Prairie Green",14990,10720,airistech/bateria-mystica-ace,2,no,SUMA-TIENDA,1.27,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería Mystica Ace; ratio 1.27x"
88413,"Repuesto Hot Knife Yocan Dirk",10990,10493,yocan/dirk-hot-knife,2,no,SUMA-TIENDA,3,NECESITA-FOTO,"No se pudo determinar automáticamente; similitud 0.667, ratio 3x"
88826,"Vaporizador Bateria Airis Mystica Max Para Cartuchos - Lime Green",12000,10681,airistech/bateria-mystica-max,2,no,SUMA-TIENDA,1.42,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería Mystica Max; ratio 1.42x"
88828,"Vaporizador Bateria Airis Mystica Max Para Cartuchos - Cocoa Brown",12000,10681,airistech/bateria-mystica-max,2,no,SUMA-TIENDA,1.42,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería Mystica Max; ratio 1.42x"
88833,"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro",249990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,3.57,NO-VINCULAR,"Vaporizador Extracciones E-rig Yocan Phaser Max es e-rig de extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
88835,"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo",249990,10548,yocan/flat,2,no,SUMA-TIENDA,25.02,NO-VINCULAR,"Vaporizador Extracciones E-rig Yocan Phaser Max es e-rig; yocan/flat es batería para cartuchos — categorías distintas"
88881,"Vaporizador Incognito Doble Yocan Dubb - Negro",24990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,2.8,NO-VINCULAR,"Yocan Dubb es vaporizador dual; sin producto equivalente en catálogo"
88882,"Vaporizador Incognito Doble Yocan Dubb - Rojo",24990,10548,yocan/flat,2,no,SUMA-TIENDA,2.5,NO-VINCULAR,"Yocan Dubb es vaporizador dual; sin producto equivalente en catálogo"
88884,"Vaporizador Incognito Doble Yocan Dubb - Blanco",24990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.64,NO-VINCULAR,"Yocan Dubb es vaporizador dual; sin producto equivalente en catálogo"
88889,"Vaporizador Incognito Doble Yocan Dubb - Verde",24990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.64,NO-VINCULAR,"Yocan Dubb es vaporizador dual; sin producto equivalente en catálogo"
88890,"Vaporizador Extracciones E-rig Yocan Go - Negro",180000,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,2.57,NO-VINCULAR,"Vaporizador Extracciones E-rig Yocan Go es e-rig de extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
88892,"Vaporizador Extracciones E-rig Yocan Go - Rojo",180000,10548,yocan/flat,2,no,SUMA-TIENDA,18.02,NO-VINCULAR,"Vaporizador Extracciones E-rig Yocan Go es e-rig; yocan/flat es batería para cartuchos — categorías distintas"
88893,"Vaporizador Extracciones E-rig Yocan Go - Azul",180000,10503,yocan/pocket,4,si,ya-tiene-tienda,1.89,NO-VINCULAR,"Congelado (4 tiendas) y ya tiene esa tienda"
88895,"Vaporizador Extracciones E-rig Yocan Go - Blanco",180000,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,2.73,NO-VINCULAR,"Vaporizador Extracciones E-rig Yocan Go es e-rig de extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88898,"Vaporizador Extracciones E-Rig Yocan iCan - Rosa",46990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.4,NO-VINCULAR,"Yocan iCan es para extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88900,"Vaporizador Extracciones E-Rig Yocan iCan - Blanco",46990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.4,NO-VINCULAR,"Yocan iCan es para extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88902,"Vaporizador Extracciones E-Rig Yocan iCan - Morado",46990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.49,NO-VINCULAR,"Yocan iCan es para extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
88903,"Vaporizador Extracciones E-Rig Yocan iCan - Verde",46990,10214,yocan/vaporizer-hit-2,3,no,SUMA-TIENDA,1.4,NO-VINCULAR,"Yocan iCan es para extracciones; yocan/vaporizer-hit-2 es vaporizador herbal — categorías distintas"
88904,"Vaporizador Extracciones E-Rig Yocan iCan - Celeste",46990,10503,yocan/pocket,4,si,ya-tiene-tienda,2.02,NO-VINCULAR,"Congelado (4 tiendas) y ya tiene esa tienda"
88906,"Vaporizador Extracciones E-Rig Yocan iCan - Negro",46990,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,1.49,NO-VINCULAR,"Yocan iCan es para extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
88909,"Vaporizador Extracciones Yocan Iris - Blanco",25990,10521,yocan/kodo-pro,2,no,SUMA-TIENDA,1.73,VINCULAR,"Yocan Iris es batería para cartuchos; comparable a Batería para cartuchos Kodo Pro; ratio 1.73x"
88911,"Vaporizador Extracciones Yocan Iris - Morado",25990,10548,yocan/flat,2,no,SUMA-TIENDA,2.6,NECESITA-FOTO,"No se pudo determinar automáticamente; similitud 0.5, ratio 2.6x"
88914,"Vaporizador Extracciones Yocan Nestor",27000,10679,yocan/vaporizer-vane-2,2,no,SUMA-TIENDA,2.59,NO-VINCULAR,"Yocan Nestor es para extracciones; yocan/vaporizer-vane-2 es vaporizador herbal — categorías distintas"
