productId,productName,category,stores,storeSlug,offerCount,priceSpread,verdict,reason,offers
10549,Tabaquera Soulblime,Otros parafernalia,4,fumetas,3,1,REVISAR,difieren en: alien,O20128 $8390 Tabaquera Soulblime de Tela - Diseños || O37289 $8390 Tabaquera Soulblime de Tela - Diseños - Alien || O37291 $8390 Tabaquera Soulblime de Tela - Diseños - Negro
10718,Bonglab Atrapa Cenizas Slits Macho 18mm 90°,Repuestos para bongs y vaporizadores,4,astrogrowshop,5,1.2,VARIANTE,"solo difieren en color/diseno: -, morado, negro, transparente, verde",O32161 $24990 Atrapa Ceniza Perc 18Mm -Bonglab - Morado || O32162 $24990 Atrapa Ceniza Perc 18Mm -Bonglab - Negro || O32163 $24990 Atrapa Ceniza Perc 18Mm -Bonglab - Transparente || O32166 $24990 Atrapa Ceniza Perc 18Mm -Bonglab - Verde || O12214 $29990 Atrapa Ceniza Perc 18Mm -Bonglab
5748,Quemador Perla 18mm Calvo Glass - GB The Green Brand,Repuestos para bongs y vaporizadores,4,astrogrowshop,3,1.14,VARIANTE,"solo difieren en color/diseno: -, verde, azul",O2548 $6990 Quemador Perlas Macho 18Mm-Calvo Glass || O31348 $6990 Quemador Perlas Macho 18Mm-Calvo Glass - verde || O31347 $7990 Quemador Perlas Macho 18Mm-Calvo Glass - azul
6002,Moledor SLX 90mm,Moledores,4,astrogrowshop,5,1.07,VARIANTE,"solo difieren en color/diseno: -, negro, morado, verde, azul",O4425 $119990 Moledor 9CM-Slx || O31215 $119990 Moledor 9CM-Slx - Negro || O31218 $119990 Moledor 9CM-Slx - Morado || O31216 $127990 Moledor 9CM-Slx - verde || O31217 $127990 Moledor 9CM-Slx - azul
9852,Moledor SLX 60mm┃Moledor de cerámica antiadherente,Moledores,4,astrogrowshop,11,1.07,VARIANTE,"solo difieren en color/diseno: -, champagne, morado, plata, amarillo, rosa, negro, dorado, verde, azul, charcoal",O29051 $55990 Moledor 6CM -Slx - CHAMPAGNE || O4423 $55990 Moledor 6CM -Slx || O29047 $59990 Moledor 6CM -Slx - Morado || O29048 $59990 Moledor 6CM -Slx - Plata || O29049 $59990 Moledor 6CM -Slx - Amarillo || O29050 $59990 Moledor 6CM -Slx - Rosa || O29042 $59990 Moledor 6CM -Slx - Negro || O29046 $59990 Moledor 6CM -Slx - Dorado || O29043 $59990 Moledor 6CM -Slx - verde || O29044 $59990 Moledor 6CM -Slx - azul || O29045 $59990 Moledor 6CM -Slx - CHARCOAL
9245,Mighty +,Vaporizadores herbales,4,piranha,2,1.02,VARIANTE,titulos identicos,O16087 $367991 Mighty + || O495 $375991 Mighty +
5458,RAW Classic 1.1/4 producto de la marca RAW,Papelillos,5,astrogrowshop,2,1,VARIANTE,titulos identicos,O780 $990 Papelillos Classic 1 1/4 1 Ud-Raw || O2688 $990 Papelillos Classic 1 1/4 1Ud-Raw
9852,Moledor SLX 60mm┃Moledor de cerámica antiadherente,Moledores,4,fumetas,10,1,VARIANTE,"solo difieren en color/diseno: -, verde, azul, rosado, plateado, carbon, champagne, morado, amarillo, negro",O4646 $52191 Moledor SLX 60mm || O33571 $52191 Moledor SLX 60mm - Verde || O33567 $52191 Moledor SLX 60mm - Azul || O33568 $52191 Moledor SLX 60mm - Rosado || O33569 $52191 Moledor SLX 60mm - Plateado || O33564 $52191 Moledor SLX 60mm - Carbón || O33565 $52191 Moledor SLX 60mm - Champagne || O33566 $52191 Moledor SLX 60mm - Morado || O33570 $52191 Moledor SLX 60mm - Amarillo || O33572 $52191 Moledor SLX 60mm - Negro
6002,Moledor SLX 90mm,Moledores,4,fumetas,5,1,VARIANTE,"solo difieren en color/diseno: -, negro, morado, verde, azul",O6194 $108741 Moledor SLX 90mm || O33748 $108741 Moledor SLX 90mm - Negro || O33749 $108741 Moledor SLX 90mm - Morado || O33750 $108741 Moledor SLX 90mm - Verde || O33751 $108741 Moledor SLX 90mm - Azul
8651,Vaporizador DaVinci MIQRO-C | PIRANHA,Vaporizadores herbales,4,growbarato,2,1,VARIANTE,titulos identicos,O552 $113400 Davinci Miqro-C | Vaporizador portátil || O11370 $113400 Davinci Miqro-C | Vaporizador portátil
10718,Bonglab Atrapa Cenizas Slits Macho 18mm 90°,Repuestos para bongs y vaporizadores,4,fumetas,5,1,VARIANTE,"solo difieren en color/diseno: -, negro, morado, verde, transparente",O13155 $29990 Bonglab Atrapa cenizas Slits macho 18mm 90° || O34637 $29990 Bonglab Atrapa cenizas Slits macho 18mm 90° - Negro || O34638 $29990 Bonglab Atrapa cenizas Slits macho 18mm 90° - Morado || O34640 $29990 Bonglab Atrapa cenizas Slits macho 18mm 90° - Verde || O34641 $29990 Bonglab Atrapa cenizas Slits macho 18mm 90° - Transparente
10665,Ignite Soplete Compact,Encendedores y sopletes,4,astrogrowshop,5,1,VARIANTE,"solo difieren en color/diseno: negro, azul, verde, rosa, blanco",O33034 $21990 Soplete Compact -Ignite - Negro || O33035 $21990 Soplete Compact -Ignite - Azul || O33036 $21990 Soplete Compact -Ignite - Verde || O33038 $21990 Soplete Compact -Ignite - Rosa || O33039 $21990 Soplete Compact -Ignite - Blanco
5748,Quemador Perla 18mm Calvo Glass - GB The Green Brand,Repuestos para bongs y vaporizadores,4,fumetas,3,1,VARIANTE,"solo difieren en color/diseno: verde, azul",O13209 $6890 Calvo Glass Quemador Perlas - Macho 18mm || O34776 $6890 Calvo Glass Quemador Perlas - Macho 18mm - Verde || O34778 $6890 Calvo Glass Quemador Perlas - Macho 18mm - Azul
10665,Ignite Soplete Compact,Encendedores y sopletes,4,fumetas,5,1,VARIANTE,"solo difieren en color/diseno: blanco, azul, rosado, verde, negro",O34311 $23990 Soplete Compact Ignite - Blanco || O34312 $23990 Soplete Compact Ignite - Azul || O34313 $23990 Soplete Compact Ignite - Rosado || O34314 $23990 Soplete Compact Ignite - Verde || O34315 $23990 Soplete Compact Ignite - Negro
5525,Dream Rig-Bonglab,Bongs,4,fumetas,3,1,VARIANTE,"solo difieren en color/diseno: verde, rosado, azul",O34681 $25990 Bonglab Bong X4 Dream Rig 22cm - Verde || O34682 $25990 Bonglab Bong X4 Dream Rig 22cm - Rosado || O34683 $25990 Bonglab Bong X4 Dream Rig 22cm - Azul
