offerId,tienda,titulo,productId,modelSlug,congelado,lastSeenAt,estadoVida,veredicto,motivo
of32772,astrogrowshop,"Filtro Personal Pro II -Sploofy - Rojo",10528,sploofy/pro,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of78886,astrogrowshop,"Filtro Personal Pro II -Sploofy - RED",10528,sploofy/pro,si,2026-07-27,VIVA,VINCULAR,"ratio 0.86, variante de color/diseño en misma ficha [FROZEN-OK]"
of31309,astrogrowshop,"Encendedor Torch Zt-70 - Zengaz - Azul",10333,zengaz/zt-70,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of31310,astrogrowshop,"Encendedor Torch Zt-70 - Zengaz - ROSA/BLANCO",10333,zengaz/zt-70,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of31311,astrogrowshop,"Encendedor Torch Zt-70 - Zengaz - ROSA/MULTICOLOR",10333,zengaz/zt-70,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of32106,astrogrowshop,"Atrapa Ceniza Panal Triple 14Mm-Bonglab - Transparente",10309,bonglab/atrapa-cenizas-triple-honeycomb-14mm,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of32105,astrogrowshop,"Atrapa Ceniza Panal Triple 14Mm-Bonglab - Verde",10309,bonglab/atrapa-cenizas-triple-honeycomb-14mm,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of78020,astrogrowshop,"Atrapa Ceniza Panal Triple 18Mm-Bonglab - BLUE",10316,bonglab/atrapa-cenizas-triple-honeycomb-18mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31276,astrogrowshop,"Banger Cuarzo Simple 90 Grados -Bonglab - 10MM",10119,bonglab/banger-simple-macho-90-14mm,si,2026-07-27,VIVA,VINCULAR,"ratio 1.14, variante de color/diseño en misma ficha [FROZEN-OK]"
of78137,astrogrowshop,"Difusor Logo Magenta 14Mm -Bonglab (14Cm/12Cm) - 14 CM",10399,bonglab/difusor-magenta-14mm-12cm,si,2026-07-27,VIVA,NECESITA-FOTO,"ratio 1.75 inusual — verificar si es mismo modelo"
of78139,astrogrowshop,"Difusor Logo Negro 14Mm -Bonglab (14Cm/12Cm) - 14 CM",10401,bonglab/difusor-negro-14mm-12cm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31649,astrogrowshop,"Handy Rig-Bonglab - Morado",10218,bonglab/handy-rig,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31666,astrogrowshop,"Jelly Fish-Bonglab - Negro",5776,bonglab/jelly-fish,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of32955,astrogrowshop,"Double Shot -Bonglab - verde",10217,bonglab/double-shot,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31758,astrogrowshop,"Headshot Black-Bonglab - Negro",10164,bonglab/headshot,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31433,astrogrowshop,"Bongbastic -Bonglab - verde",5520,bonglab/bongbastic,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31302,astrogrowshop,"Classic Ice Pro-Bonglab - verde",5772,bonglab/classic-ice-pro,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31357,astrogrowshop,"Big Blow-Bonglab - Morado",5519,bonglab/big-blow,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31654,astrogrowshop,"Heavy Trash -Bonglab - verde",5774,bonglab/heavy-trash,no,2026-07-27,VIVA,VINCULAR,"ratio 1.12, variante de color/diseño en misma ficha"
of31763,astrogrowshop,"Mercurial KH1-Bonglab - azul",10167,bonglab/mercurial,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31733,astrogrowshop,"Tiny Bell -Bonglab - CLEAR",5778,bonglab/tiny-bell,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31669,astrogrowshop,"Little Buchner-Bonglab - Negro",5777,bonglab/little-buchner,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31621,astrogrowshop,"Classic Ice 26Cm-Bonglab - AMBAR",5773,bonglab/classic-ice,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31270,astrogrowshop,"Quemador Bowl Chico Hembra 14 Mm -Bonglab - CLEAR",5749,bonglab/bowl-bowl-14mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of32164,astrogrowshop,"Atrapa Ceniza Perc 18Mm -Bonglab - Rosa",10718,bonglab/atrapa-cenizas-slits-18mm,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of78085,astrogrowshop,"Atrapa Ceniza Perc 18Mm -Bonglab - PURPLE",10718,bonglab/atrapa-cenizas-slits-18mm,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31289,astrogrowshop,"Quemador Macho Simple 10 Mm - Bonglab - azul",10259,bonglab/bowl-simple-10mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31413,astrogrowshop,"Quemador Perlas Macho 14Mm - Bonglab - azul",10256,bonglab/bowl-perlas-14mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31337,astrogrowshop,"Quemador Perlas Macho 18 Mm -Bonglab - azul",10257,bonglab/bowl-perlas-18mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31446,astrogrowshop,"R3 Mini-Bonglab - verde",5529,bonglab/r3-mini,si,2026-07-27,VIVA,VINCULAR,"ratio 1.17, variante de color/diseño en misma ficha [FROZEN-OK]"
of31569,astrogrowshop,"The Trash Big Logo-Bonglab - Ámbar",5790,bonglab/trash-big-logo,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31717,astrogrowshop,"Saucer Rig-Bonglab - Negro",10487,bonglab/saucer-rig-13cm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.20, variante de color/diseño en misma ficha"
of31679,astrogrowshop,"Mad Professor - Bonglab - Blanco",5522,bonglab/mad-professor,si,2026-07-27,VIVA,VINCULAR,"ratio 1.06, variante de color/diseño en misma ficha [FROZEN-OK]"
of31385,astrogrowshop,"Fat Candy -Bonglab - Negro Humo",5340,bonglab/fat-candy,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31626,astrogrowshop,"Color Cube-Bonglab - AMBAR",5535,bonglab/color-cube,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31701,astrogrowshop,"Pocket Bell -Bonglab - AMBAR",5528,bonglab/pocket-bell,si,2026-07-27,VIVA,VINCULAR,"ratio 1.04, variante de color/diseño en misma ficha [FROZEN-OK]"
of76819,astrogrowshop,"Heavy Gear -Cabo - BLACK",6772,cabo/gear-heavy,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of76839,astrogrowshop,"Hitter Signature- Calvo Glass - BLACK",6010,calvo/hitter,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31347,astrogrowshop,"Quemador Perlas Macho 18Mm-Calvo Glass - azul",5748,calvo/bowl-perlas-18mm,si,2026-07-27,VIVA,VINCULAR,"ratio 1.14, variante de color/diseño en misma ficha [FROZEN-OK]"
of31496,astrogrowshop,"Quemador Honeycomb Macho 14Mm - azul",5746,bonglab/bowl-honeycomb-14mm,si,2026-07-28,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of33853,fumetas,"Bonglab Bong The Trash Big Logo 45cm - Turquesa",5790,bonglab/trash-big-logo,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34642,fumetas,"BongLab AtrapaCenizas Triple HoneyComb - Macho 14mm - Azul",10309,bonglab/atrapa-cenizas-triple-honeycomb-14mm,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34958,fumetas,"Bonglab Bong The Sheikh 42cm - Negro",5530,bonglab/sheikh,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of651,fumetas,"Bonglab Atrapa cenizas Slits macho 14mm 90°",10717,bonglab/atrapa-cenizas-slits-14mm,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of33927,fumetas,"Bonglab Bong Handy Rig 14cm - Negro",10218,bonglab/handy-rig,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34973,fumetas,"Bonglab K275 Bubbler Kush 50cm - Azul",5339,bonglab/bubbler-kush,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34065,fumetas,"Bonglab Bong K276 Bongbastic 45cm - Azul",5520,bonglab/bongbastic,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34239,fumetas,"Bonglab Bong Lucky Goblin - Rosado",10538,bonglab/lucky-goblin,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34377,fumetas,"Bonglab Bong Pyrex K41 Big Blow 46cm - Azul",5519,bonglab/big-blow,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34952,fumetas,"BongLab Bong KH1 Mercurial 24cm - Tornasol",10167,bonglab/mercurial,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of37482,fumetas,"Bonglab Bong KS10 Little Buchner 25cm - Rosado",5777,bonglab/little-buchner,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de fumetas"
of34671,fumetas,"Bonglab Bong KS11 Classic Ice 26cm - Negro",5773,bonglab/classic-ice,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of36508,fumetas,"Polera Bonglab Smoker Life - L",10598,bonglab/polera-smoker-life,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33992,fumetas,"Bonglab Quemador Perlas - Macho 18mm - Rosado",10257,bonglab/bowl-perlas-18mm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33976,fumetas,"BongLab Quemador Honeycomb Macho 18mm - Morado",5747,bonglab/bowl-honeycomb-18mm,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of33944,fumetas,"BongLab Bong R3 Mini 10.5cm - Rosado",5529,bonglab/r3-mini,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34502,fumetas,"BongLab Bong W06 Fat Candy 25cm - Negro",5340,bonglab/fat-candy,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34677,fumetas,"Bonglab Bong X2 Color Cube 23cm - Verde",5535,bonglab/color-cube,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34417,fumetas,"BongLab Bong X5 Pocket Bell 17cm - Rosado",5528,bonglab/pocket-bell,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31399,astrogrowshop,"Quemador Hembra 14Mm -Bonglab - Negro",10363,bonglab/quemador-hembra-14mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of78080,astrogrowshop,"Atrapa Ceniza Perc 14Mm -Bonglab - PURPLE",10717,bonglab/atrapa-cenizas-slits-14mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35252,fumetas,"Blunt Wrap Platinum x2 - Apple Martini",8638,blunt-wrap/wrap-platinum-2u,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33621,fumetas,"Blazy Susan Moledor Contenedor Mini Herb Saver Lila - Susan",5510,blazy-susan/herb-saver-mini,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36034,fumetas,"Cenicero bulldog metálico - Black",10335,the-bulldog/cenicero-metalico,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33545,fumetas,"Moledor plástico Bulldog 3 partes 60mm - Negro",10096,the-bulldog/plastic-3-partes-63mm,no,2026-07-28,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of37526,fumetas,"Calvo Batería Hide Cartridge 510 - Negro",10710,calvo/bateria-hide-510,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34718,fumetas,"Calvo Glass Bee Rig Lite 19cm - Amarillo",10223,calvo/bee-lite,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34443,fumetas,"Calvo Glass Quemador Pyrex - Macho 14mm - Negro",5751,calvo/bowl-14mm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35312,fumetas,"Calvo Pipa Hitter 12mm - Negro",6010,calvo/hitter,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33664,fumetas,"Moledor Calvo Lite Aluminio 63mm - Turquesa",5504,calvo/lite-aluminio-63mm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34775,fumetas,"Calvo Glass Quemador Perlas - Macho 18mm - Amarillo",5748,calvo/bowl-perlas-18mm,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34999,fumetas,"Calvo Glass Bong Esencial 22cm - Verde",10374,calvo/essential-22cm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34457,fumetas,"Dime Bags Estuche The Boss Con Clave Anti-Olor 25cm - Negro",10490,dime-bags/the-boss-25cm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34094,fumetas,"Quemador Generico Honeycomb Macho 14mm - Ámbar",5746,bonglab/bowl-honeycomb-14mm,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of33557,fumetas,"Moledor Galaxy Cerámico 60mm - Negro",10082,galaxy/ceramic-60mm,si,2026-07-28,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of33673,fumetas,"Moledor Galaxy Aluminio 73 mm - Rojo",5356,galaxy/aluminio-73mm,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of33553,fumetas,"Moledor Galaxy Aluminio 63mm - Rojo",10671,galaxy/lightning-63mm,si,2026-07-28,VIVA,VINCULAR,"ratio 0.87, variante de color/diseño en misma ficha [FROZEN-OK]"
of33698,fumetas,"Moledor Galaxy Pro Model 63mm - Negro",5502,galaxy/new-pro-model,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of36824,fumetas,"G Pen Glass Adapter Connect - 18mm",10608,g-pen/connect-glass-adapter-18mm,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of37028,fumetas,"G-Rollz Blunt Pre Rolled Hemp Wrap x2 - Sabores - Strawberry",10557,g-rollz/blunt-pre-rolled-hemp-wrap-x2,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of34072,fumetas,"G-Rollz Blunt Hemp Wrap x4 - Slow Burning - Green Funk",10381,g-rollz/blunt-hemp-wrap-x4,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of37177,fumetas,"Hemper Hemp Rolls + Glass Tips Mini Size - Sabores - Natural",10368,hemper/hemp-rolls-glass-tips-mini,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of8122,fumetas,"Hemper Quick Hitter Multiuso x2",10729,hemper/quick-hitter-x2-arandano,no,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of37183,fumetas,"Hemper Quick Tips - Boquillas Con Sabor - Uva",10382,hemper/quick-tips-uva,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33033,astrogrowshop,"Soplete Compact -Ignite - Amarillo",10665,ignite/compact,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of32898,astrogrowshop,"Soplete X-Mini -Ignite - Verde",10664,ignite/x-mini,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of32901,astrogrowshop,"Soplete X-Mini -Ignite - Rojo",10664,ignite/x-mini,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of1151,astrogrowshop,"4 Pcs Grinder -Blazy Susan",10734,blazy-susan/aluminio-60mm-4-partes,no,2026-06-30,FANTASMA,FANTASMA,"lastSeenAt 2026-06-30 >14 días del último scrape de astrogrowshop"
of88829,friendlygrow,"Vaporizador Bateria Airis Mystica Max Para Cartuchos - Aleatorio",10681,airistech/bateria-mystica-max,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31207,astrogrowshop,"Moledor 73MM -Galaxy - Negro",5356,galaxy/aluminio-73mm,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of29053,astrogrowshop,"Ceramics Pocket Grinder -Galaxy - Negro",5792,galaxy/pocket-ceramic,no,2026-07-27,VIVA,VINCULAR,"ratio 1.07, variante de color/diseño en misma ficha"
of30966,astrogrowshop,"Ceramics Grinder -Galaxy - Morado",10082,galaxy/ceramic-60mm,si,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31171,astrogrowshop,"Moledor 38MM-Galaxy - Negro",5512,galaxy/aluminio-38mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31180,astrogrowshop,"Moledor 55MM-Galaxy - Negro",5507,galaxy/aluminio-55mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of31198,astrogrowshop,"Moledor 63MM -Galaxy - Rosa",5499,galaxy/aluminio-63mm,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of30998,astrogrowshop,"Moledor New Pro Model Grinder V2.0-Galaxy - SHADOW",5502,galaxy/new-pro-model,si,2026-07-27,VIVA,VINCULAR,"ratio 1.03, variante de color/diseño en misma ficha [FROZEN-OK]"
of34290,fumetas,"Ozeta Estuche grande - Anti-olor - Morado",5761,ozeta/case-antiolor-large,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of34298,fumetas,"Ozeta Estuche pequeño - Anti-olor - Negro",5765,ozeta/case-antiolor-small,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of19516,fumetas,"Ozeta Estuches Ywiwis Anti - Olor",7885,ozeta/case-ywiwis,si,2026-06-13,FANTASMA,FANTASMA,"lastSeenAt 2026-06-13 >14 días del último scrape de fumetas"
of37072,fumetas,"Ozeta Muslera Con Clave - Anti Olor - Negro",5782,ozeta/bag-legbag,si,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of37251,fumetas,"Pulsar 510 DL Scribe Lápiz para Cartridge - Celeste",10861,pulsar/510-dl-scribe-negro,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33598,fumetas,"PieceMaker Pipa Kuban 11 cm - Oscuro",6011,piecemaker/kuban,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of30978,astrogrowshop,"Pipa Silicona Pocket Travel -Top Smoke - BLUE GLACIER",5489,top-smoke/pocket-travel,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36523,fumetas,"Raw Gorro de Lana - Negro",10430,raw/gorro-lana,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35948,fumetas,"Special Blue Encendedor Soplete Bernie Anime - Akatsuki",10483,special-blue/bernie-wild-free,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35804,fumetas,"Special Blue Encendedor Soplete Bernie Skull &amp; Roses - Cthulhu Ramen",10483,special-blue/bernie-wild-free,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35952,fumetas,"Special Blue Encendedor Soplete Bernie Psychedelic - Smile",10483,special-blue/bernie-wild-free,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of37488,fumetas,"Soulblime Bolsa Hermética Diseños - Monstruos",10527,soulblime/bolsa-hermetica,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de fumetas"
of36151,fumetas,"Soulblime Contenedor con Tapa-Bandeja - Monstruos",10546,soulblime/contenedor-tapa-bandeja,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of33627,fumetas,"Soulblime Tarjeta Moledor - Ojo",6003,soulblime/tarjeta,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of35943,fumetas,"Smokus Focus Contenedor Luz + Lupa Comet - Negro",10524,smokus-focus/comet,no,2026-07-21,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of36570,fumetas,"Sploofy Pro Filtro Personal - Aqua",10528,sploofy/pro,si,2026-07-28,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha [FROZEN-OK]"
of31639,astrogrowshop,"Estuche Grande -Ozeta - Rosa",5761,ozeta/case-antiolor-large,si,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of31643,astrogrowshop,"Estuche Mediano -Ozeta - Rosa",5764,ozeta/case-antiolor-medium,no,2026-07-10,FANTASMA,FANTASMA,"lastSeenAt 2026-07-10 >14 días del último scrape de astrogrowshop"
of77704,astrogrowshop,"Estuche Roller Wallet -Ryot - BLACK",10447,ryot/roller-wallet,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of32374,astrogrowshop,"BATERIA 510 ESCONDIDA 650MAH - CALVO GLASS - Rosa",10710,calvo/bateria-hide-510,no,2026-07-24,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of12344,astrogrowshop,"Bateria 510 Led 400Mah Black-Calvo Glass",10531,calvo/bateria-led-cartridge-510,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of32232,astrogrowshop,"Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey) - Negro",9244,davinci/iq3,no,2026-07-28,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
of91114,astrogrowshop,"Soplete Honest -Dynavap - CLEAR",10441,dynavap/honest-torch,no,2026-07-27,VIVA,VINCULAR,"ratio 1.00, variante de color/diseño en misma ficha"
