dist;sim;promiscuidad;fgOfferId;fgTitle;fgPrice;fgCategoria;fgBrandKey;fgSku;fgEan;otherStore;otherOfferId;otherTitle;otherPrice;otherCategoria;otherBrandKey;otherSku;otherEan;priceRatio;mismaCategoria;skuCompartido;eanCompartido;textScore;inStock;fgUrl;otherUrl;fgImage;otherImage
86;0.6468;9;88838;"Vaporizador Extracciones E-rig Yocan Phaser Max - Plateado";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;19519;"Papelillos Gizeh Queen Size + Tips";1490;"Papelillos";"gizeh";"GIZ-QUEENTP";"42353256";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Plateado";"https://fumetas.cl/papelillos-gizeh-queen-size-tips";"https://cdnx.jumpseller.com/friendly-grow/image/73165131/YXK-191C_E9_93_B6.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/63974552/gizeh-black-queen-size-papers-tips-1-fumetas-store.webp?1748654658"
86;0.551;10;87971;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Blanco";59990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";6.01;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Blanco";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293123/airis_20350mAh_20V2.0_20Battery_20_283_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
92;0.6077;2;88833;"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;37535;"Conos Blunt Kush Hemp x2 - Sabores - Sweet";1490;"Conos y blunts";"kush-hemp";"BLUKU-CONS";"644536724469";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Negro";"https://fumetas.cl/conos-kush-hemp-sabores?variant=Sweet";"https://cdnx.jumpseller.com/friendly-grow/image/73165136/YXK-191C1_E9_BB_91.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/11885107/Kush_-_Herbal_Cones_-_Sweet_Flavor_-_2-Ct_copy__21444.1539361896.500.500.png?1769186287"
92;0.5732;10;87973;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Negro";59990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";6.01;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Negro";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293130/airis_20350mAh_20V2.0_20Battery_20_2810_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
94;0.6347;2;88835;"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo";249990;"Accesorios de extraccion";"yocan";"";"";fumetas;37535;"Conos Blunt Kush Hemp x2 - Sabores - Sweet";1490;"Conos y blunts";"kush-hemp";"BLUKU-CONS";"644536724469";167.78;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo";"https://fumetas.cl/conos-kush-hemp-sabores?variant=Sweet";"https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189";"https://cdnx.jumpseller.com/fumetas-store/image/11885107/Kush_-_Herbal_Cones_-_Sweet_Flavor_-_2-Ct_copy__21444.1539361896.500.500.png?1769186287"
95;0.8064;9;88833;"Vaporizador Extracciones E-rig Yocan Phaser Max - Negro";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;32122;"Contenedor de Pyrex para Extractos 3 cm - Transparente";2990;"Contenedores y estuches";"";"BTCPCIT";"";83.61;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Negro";"https://astrogrowshop.cl/contenedor-de-pyrex-para-extractos-3-cm?variant=Transparente";"https://cdnx.jumpseller.com/friendly-grow/image/73165136/YXK-191C1_E9_BB_91.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/74244979/CONTENEDOR-PARA-EXTRACTOS-PYREX-BASE-TRANSPARENTE.webp?1772801271"
95;0.8056;9;88835;"Vaporizador Extracciones E-rig Yocan Phaser Max - Rojo";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;32122;"Contenedor de Pyrex para Extractos 3 cm - Transparente";2990;"Contenedores y estuches";"";"BTCPCIT";"";83.61;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Rojo";"https://astrogrowshop.cl/contenedor-de-pyrex-para-extractos-3-cm?variant=Transparente";"https://cdnx.jumpseller.com/friendly-grow/image/73165135/YXK-191C1_E7_BA_A2.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/74244979/CONTENEDOR-PARA-EXTRACTOS-PYREX-BASE-TRANSPARENTE.webp?1772801271"
95;0.5646;10;87975;"10 X Vaporizador Airis Vertex 2.0 Para Cartridges. - Tornasol";59990;"Otros parafernalia";"airistech";"MLC2677935526";"";fumetas;19378;"Cepillo Con Compartimiento Secreto - OZeta Home";9990;"Otros parafernalia";"ozeta";"OZTA-HCEP";"";6.01;1;0;0;0;1;"https://www.friendlygrow.cl/promo-10-x-vaporizador-airis-vertex-20-para-cartridges?variant=Tornasol";"https://fumetas.cl/cepillo-con-compartimiento-secreto-ozeta-home";"https://cdnx.jumpseller.com/friendly-grow/image/70293131/airis_20350mAh_20V2.0_20Battery_20_2811_29.jpg?1781578046";"https://cdnx.jumpseller.com/fumetas-store/image/62975583/cepillo-depelo-ozeta-home-2.webp?1745813247"
98;0.6848;21;88588;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Roja";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";15.54;0;0;0;0;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Roja";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75772393/AC885-BC_20_2812_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
98;0.6848;18;88588;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Roja";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";15.54;0;0;0;0.08;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Roja";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772393/AC885-BC_20_2812_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
98;0.6839;23;88588;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Roja";3990;"Vaporizadores herbales";"";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";16.29;0;0;0;0.12;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Roja";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772393/AC885-BC_20_2812_29.jpg?1776127645";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
99;0.7116;23;87637;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 6";6290;"Pipas";"cookies";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";10.33;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%206";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75851219/YD312-C_20_2818_29.jpg?1776370701";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
99;0.7107;23;88583;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Azul";3990;"Vaporizadores herbales";"";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";16.29;0;0;0;0.12;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Azul";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772396/AC885-BC_20_2810_29.jpg?1776127645";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
99;0.7011;23;88590;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Verde";3990;"Vaporizadores herbales";"";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";16.29;0;0;0;0.12;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Verde";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772391/AC885-BC_20_2811_29.jpg?1776127645";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
100;0.6952;23;88586;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Negra";3990;"Vaporizadores herbales";"";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";16.29;0;0;0;0.12;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Negra";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772397/AC885-BC_20_286_29.jpg?1776127645";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
100;0.6806;21;87630;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - White";6290;"Pipas";"cookies";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";9.86;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=White";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75851211/YD312-C_20_281_29.jpg?1776370701";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
100;0.6806;18;87630;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - White";6290;"Pipas";"cookies";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";9.86;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=White";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75851211/YD312-C_20_281_29.jpg?1776370701";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
101;0.6949;21;87637;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 6";6290;"Pipas";"cookies";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";9.86;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%206";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75851219/YD312-C_20_2818_29.jpg?1776370701";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
101;0.6949;18;87637;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - Diseño 6";6290;"Pipas";"cookies";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";9.86;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=Dise%C3%B1o%206";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75851219/YD312-C_20_2818_29.jpg?1776370701";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
101;0.6889;21;88590;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Verde";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";15.54;0;0;0;0;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Verde";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75772391/AC885-BC_20_2811_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
101;0.6889;18;88590;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Verde";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";15.54;0;0;0;0.08;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Verde";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772391/AC885-BC_20_2811_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
102;0.7324;4;87373;"Moledor de Metal de Lujo 63mm - 4 Partes (Diseño en Relieve) - Oro";13900;"Moledores";"";"";"";astrogrowshop;31039;"Moledor Aluminio 4 Partes 50MM Bt - verde";9990;"Moledores";"";"ASTROMAPBG017";"";1.39;1;0;0;0;1;"https://www.friendlygrow.cl/grinder-de-metal-de-lujo-63mm-4-partes-diseno-en-relieve?variant=Oro";"https://astrogrowshop.cl/moledor-aluminio-4-partes-50mm-bt?variant=verde";"https://cdnx.jumpseller.com/friendly-grow/image/75840931/PH63-4-001_20_286_29.jpg?1780669650";"https://cdnx.jumpseller.com/astrogrowshop/image/74868958/imagen_1_28239.webp?1773937618"
102;0.7324;3;87373;"Moledor de Metal de Lujo 63mm - 4 Partes (Diseño en Relieve) - Oro";13900;"Moledores";"";"";"";astrogrowshop;31031;"Moledor Aluminio 4 Partes 40Mm Bt - verde";7990;"Moledores";"";"ASTROMAPBG008";"";1.74;1;0;0;0;1;"https://www.friendlygrow.cl/grinder-de-metal-de-lujo-63mm-4-partes-diseno-en-relieve?variant=Oro";"https://astrogrowshop.cl/moledor-aluminio-4-partes-40mm-bt?variant=verde";"https://cdnx.jumpseller.com/friendly-grow/image/75840931/PH63-4-001_20_286_29.jpg?1780669650";"https://cdnx.jumpseller.com/astrogrowshop/image/74868781/imagen_1_28230.webp?1773937552"
102;0.7324;3;87373;"Moledor de Metal de Lujo 63mm - 4 Partes (Diseño en Relieve) - Oro";13900;"Moledores";"";"";"";astrogrowshop;31046;"Moledor Aluminio 4 Partes 63Mm Bt - verde";12990;"Moledores";"";"ASTROMAPBG025";"";1.07;1;0;0;0.65;1;"https://www.friendlygrow.cl/grinder-de-metal-de-lujo-63mm-4-partes-diseno-en-relieve?variant=Oro";"https://astrogrowshop.cl/moledor-aluminio-4-partes-63mm-bt?variant=verde";"https://cdnx.jumpseller.com/friendly-grow/image/75840931/PH63-4-001_20_286_29.jpg?1780669650";"https://cdnx.jumpseller.com/astrogrowshop/image/74869192/imagen_1_28247.webp?1773937788"
102;0.6859;21;88586;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Negra";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";15.54;0;0;0;0;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Negra";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75772397/AC885-BC_20_286_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
102;0.6859;18;88586;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Negra";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";15.54;0;0;0;0.08;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Negra";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772397/AC885-BC_20_286_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
103;0.6932;21;88583;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Azul";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;12614;"K30 -Bonglab";61990;"Otros parafernalia";"bonglab";"BGBLK30BLACK";"";15.54;0;0;0;0;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Azul";"https://astrogrowshop.cl/k30-bonglab";"https://cdnx.jumpseller.com/friendly-grow/image/75772396/AC885-BC_20_2810_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
103;0.6932;18;88583;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Azul";3990;"Vaporizadores herbales";"";"";"";astrogrowshop;32774;"K30 -Bonglab - Morado";61990;"Otros parafernalia";"bonglab";"BGBLK30PURPLE";"";15.54;0;0;0;0.08;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Azul";"https://astrogrowshop.cl/k30-bonglab?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75772396/AC885-BC_20_2810_29.jpg?1776127645";"https://cdnx.jumpseller.com/astrogrowshop/image/74869333/imagen_1_26365.webp?1778783777"
104;0.7037;23;87630;"Pipa de Pyrex Cookies Spoon - Premium Borosilicate Glass - White";6290;"Pipas";"cookies";"";"";fumetas;34951;"Bonglab Bong Fresh K30 42cm - Morado";64990;"Bongs";"bonglab";"BLAB-K30P";"";10.33;0;0;0;0;1;"https://www.friendlygrow.cl/pipa-de-vidrio-cookies-spoon-premium-borosilicate-glass?variant=White";"https://fumetas.cl/bonglab-bong-k30-black-42cm?variant=Morado";"https://cdnx.jumpseller.com/friendly-grow/image/75851211/YD312-C_20_281_29.jpg?1776370701";"https://cdnx.jumpseller.com/fumetas-store/image/25758149/Bong-K30-Purple.jpg?1729048665"
104;0.5006;8;88584;"Dabber Spoon de Precisión Black Cobra - Diseño Corona - Amarilla";3990;"Vaporizadores herbales";"";"";"";growbarato;71057;"Deshumidificador Cornwall Electronics 12L/Día";239400;"Otros parafernalia";"";"";"";60;0;0;0;0;1;"https://www.friendlygrow.cl/mini-cuchara-de-precision-black-cobra-diseno-corona?variant=Amarilla";"https://www.growbaratochile.cl/humedad-y-temperatura/deshumidificador-cornwall-electronics-12ldia.html";"https://cdnx.jumpseller.com/friendly-grow/image/75772395/AC885-BC_20_289_29.jpg?1776127645";"https://www.growbaratochile.cl/6311-large_default/deshumidificador-cornwall-electronics-12ldia.jpg"
105;0.8157;9;88837;"Vaporizador Extracciones E-rig Yocan Phaser Max - Azul";249990;"Accesorios de extraccion";"yocan";"";"";astrogrowshop;32122;"Contenedor de Pyrex para Extractos 3 cm - Transparente";2990;"Contenedores y estuches";"";"BTCPCIT";"";83.61;0;0;0;0;1;"https://www.friendlygrow.cl/yocan-phaser-max?variant=Azul";"https://astrogrowshop.cl/contenedor-de-pyrex-para-extractos-3-cm?variant=Transparente";"https://cdnx.jumpseller.com/friendly-grow/image/73165137/YXK-191C_E8_93_9D.png?1774537189";"https://cdnx.jumpseller.com/astrogrowshop/image/74244979/CONTENEDOR-PARA-EXTRACTOS-PYREX-BASE-TRANSPARENTE.webp?1772801271"
