offerId,tienda,titulo,precio,productId,modelSlug,tiendas,congelado,efecto,ratioPrecio,veredicto,motivo
of1316,piranha,"""Batería Vaporizador Calvo 510 350MAH | PIRANHA""",9891,10453,calvo/bateria-cartridge-510,3,no,SUMA-TIENDA,1.03,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10453 (3t)"
of15728,piranha,"""Batería Vaporizador Calvo Hidden 510 650MAH | PIRANHA""",23741,10710,calvo/bateria-hide-510,2,no,SUMA-TIENDA,1.05,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10710 (2t)"
of39353,piranha,"""Nectar Collector - Calvo | PIRANHA""",14990,10525,calvo/nectar-wax-pen,2,"",,1.90,NECESITA-FOTO,"ratio 1.90 + similitud baja 0.375"
of80230,piranha,"""Calvo Glass Marble Set | PIRANHA""",11990,10446,calvo/marble-set,3,no,SUMA-TIENDA,1.20,VINCULAR,"similitud 0.800, SUMA-TIENDA a P10446 (3t)"
of15802,piranha,"Bucket Banger 14mm",13990,10404,calvo/flat-bucket-banger-45-10mm,2,no,,1.75,NO-VINCULAR,"TALLA: 14mm es formato distinto del destino (10mm)"
of15722,piranha,"""Batería Vaporizador Calvo 510 LED 400MAH""",14241,10531,calvo/bateria-led-cartridge-510,2,no,SUMA-TIENDA,1.12,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10531 (2t)"
of918,piranha,"""Bong Red Drop Micro Rig 16cm sin Quemador""",33921,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of93906,piranha,"""Accesorio Calvo Hot Knife Attachment (2u) | PIRANHA""",14241,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of493,piranha,"""Encendedor Clipper x Piranha""",1190,10578,clipper/burningman,2,no,SUMA-TIENDA,1.19,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10578 (2t)"
of509,piranha,"""Kit Encendedor Clipper x Piranha""",2451,10578,clipper/burningman,2,"",SUMA-TIENDA,2.45,NECESITA-FOTO,"ratio 2.45 + similitud baja 0.400"
of696,piranha,"""Kit Premium OCB x Piranha""",21592,,,,,,"",NO-VINCULAR,"ratio 31.3 o similitud 0.400 — modelo distinto"
of80459,piranha,"""Terpeno Terps USA Gelato (5mL) | PIRANHA""",29742,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of80675,piranha,"""Terpeno Cali Terpenes 1mL (Lemon Cookies) | PIRANHA""",13993,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of80602,piranha,"""Terpeno Cali Terpenes 1mL (Girl Scout Cookies) | PIRANHA""",13993,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15914,piranha,"""Glass Spacer - DaVinci IQ""",15490,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15913,piranha,"""Boquilla Plana DaVinci MIQRO""",4794,,,,,,"",NO-VINCULAR,"ratio 27.1 o similitud 0.400 — modelo distinto"
of15915,piranha,"""TEMP/RMP Gasket - DaVinci MIQRO""",796,,,,,,"",NO-VINCULAR,"ratio 163.3 o similitud 0.400 — modelo distinto"
of15807,piranha,"""ARTIQ - DaVinci | PIRANHA""",59492,8651,davinci/miqro-c,4,"",,2.18,NECESITA-FOTO,"ratio 2.18 + similitud baja 0.400"
of15947,piranha,"Boquilla DaVinci",4995,10360,davinci/iq2-boquilla,3,no,,2.00,NECESITA-FOTO,"RATIO 0.5x — verificar modelo"
of15848,piranha,"""Bolso Anti Olor Dime Bags The Don con Candado | PIRANHA""",34993,10490,dime-bags/the-boss-25cm,2,no,,1.03,VINCULAR,"similitud 0.750, ya tiene piranha"
of511,piranha,"""Vaporizador DynaVap WoodWynd | PIRANHA""",180491,10439,dynavap/the-b,3,"",SUMA-TIENDA,3.28,NECESITA-FOTO,"ratio 3.28 — verificar modelo"
of15934,piranha,"""DynaVap The Wand Adaptor | PIRANHA""",18990,,,,,,"",NO-VINCULAR,"ratio 7.2 o similitud 0.833 — modelo distinto"
of80584,piranha,"""Boquilla Swivel Carta 2/Sport y Aeris Focus V | PIRANHA""",24291,,,,,,"",NO-VINCULAR,"ratio 8.2 o similitud 0.375 — modelo distinto"
of16066,piranha,"""Boquilla Aeris Focus V | PIRANHA""",42741,10435,focus-v/aeris,3,"",,4.68,NECESITA-FOTO,"ratio 4.68 — verificar modelo"
of80196,piranha,"""Kit Silicona + Swivel Carta 2/Sport Focus V | PIRANHA""",47491,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of14380,piranha,"""Cargador Inalámbrico Focus V Aeris | PIRANHA""",75991,10467,focus-v/cargador-inalambrico-carta-2,2,no,SUMA-TIENDA,1.09,VINCULAR,"similitud 0.500, SUMA-TIENDA a P10467 (2t)"
of80741,piranha,"Bubbler (Burbujeador) Aeris Focus V | PIRANHA",98991,10435,focus-v/aeris,3,no,,2.02,NO-VINCULAR,"RATIO 0.49x — accesorio/repuesto vs kit"
of16067,piranha,"""Adaptador Intelli-Core Max para Aeris Focus V | PIRANHA""",23741,10414,focus-v/intelli-core-hierba-carta-2,2,"",,2.00,NECESITA-FOTO,"ratio 2.00 + similitud baja 0.364"
of10784,piranha,"""Biodegradable Hemp Grinder Cáñamo""",4990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15836,piranha,"""Vaporizador Connect""",79996,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15948,piranha,"""G Pen Elite Adaptador para Bong""",11394,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15949,piranha,"""Boquilla G Pen Pro (incluye malla)""",3995,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of27471,piranha,"""Cargador USB G Pen""",3775,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of27435,piranha,"""G Pen Elite Dock de Carga""",15594,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of27406,piranha,"""Carcasa Silicona G Pen Elite""",10995,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16192,piranha,"""HighTrip - Cannaleaf""",8091,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15954,piranha,"""HighTrip - Colorea High / Vol.1""",7992,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15988,piranha,"""HighTrip - HighSkulls 1""",8091,10873,hightrip/pin-highskulls-2,2,no,,1.00,VINCULAR,"similitud 1.000, ya tiene piranha"
of16195,piranha,"""HighTrip - Clones""",8091,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16191,piranha,"""HighTrip - Batazo""",8091,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of53237,piranha,"""Bandeja de Cultivo Kasvi| PIRANHA""",79992,10725,kasvi/carbon-activado-125x400,3,no,,1.01,VINCULAR,"similitud 0.375, ya tiene piranha"
of53280,piranha,"""Kasvi Instruments Medidor pH/EC/TDS/Temp/Humedad | PIRANHA""",87991,10788,kasvi/medidor-ph,2,"",,4.63,NECESITA-FOTO,"ratio 4.63 — verificar modelo"
of52580,piranha,"""Filtro de Carbón Activo 12'' (315x1000mm) Kasvi | PIRANHA""",347791,10829,kasvi/carbon-activado-315x1200,2,no,,1.22,VINCULAR,"similitud 0.800, ya tiene piranha"
of53766,piranha,"""Bandeja Trimming Kasvi | PIRANHA""",63992,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of81010,piranha,"""Deshumidificador 60 L/D Kasvi | PIRANHA""",854991,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of53610,piranha,"""Kasvi Instruments Medidor Portátil de TDS y EC | PIRANHA""",17091,10788,kasvi/medidor-ph,2,no,,1.11,VINCULAR,"similitud 0.556, ya tiene piranha"
of52594,piranha,"Filtro de Carbón Activo 10'' Kasvi | PIRANHA",218491,10742,kasvi/carbon-activado-150x400,3,no,,2.30,NECESITA-FOTO,"RATIO 2.3x — verificar modelo"
of53640,piranha,"""Deshumidificador 12 L/D Kasvi | PIRANHA""",237491,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of53641,piranha,"""Deshumidificador 30 L/D Kasvi | PIRANHA""",436991,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of53238,piranha,"""Bandeja de Cultivo Kasvi | PIRANHA""",139992,10742,kasvi/carbon-activado-150x400,3,no,,1.47,VINCULAR,"similitud 0.375, ya tiene piranha"
of16185,piranha,"Backpack Lion Rolling Circus| PIRANHA",4242,10565,lion-rolling-circus/cenicero-metalico,3,no,,2.13,NECESITA-FOTO,"RATIO 2.13x — verificar modelo"
of16008,piranha,"Caja Metálica Porta Papelillo King Size Lion Rolling Circus | PIRANHA",2690,10234,lion-rolling-circus/case-1-1-4,2,no,,1.08,NO-VINCULAR,"TALLA: king size es talla distinta de case-1-1-4"
of16020,piranha,"Blunt Wrap Natural Lion Rolling Circus",1990,10733,lion-rolling-circus/terpenes-gelato,2,no,,1.00,NO-VINCULAR,"SABOR distinto: SABOR natural vs destino gelato"
of16021,piranha,"""Blunt Wrap Strawberry Lion Rolling Circus""",1990,10654,lion-rolling-circus/terpenes-strawberry-shortcake,2,no,,1.00,VINCULAR,"similitud 0.750, ya tiene piranha"
of81041,piranha,"""Papelillo Funky Chocolate King Size Lion Rolling Circus | PIRANHA""",1891,10452,lion-rolling-circus/alfalfa-king-size,3,no,,1.36,VINCULAR,"similitud 0.667, ya tiene piranha"
of16036,piranha,"""Contenedor Tainer Lion Rolling Circus""",4491,10620,lion-rolling-circus/small,3,no,,1.22,VINCULAR,"similitud 0.500, ya tiene piranha"
of81049,piranha,"Blunt Wrap Chocolate Lion Rolling Circus",1990,10733,lion-rolling-circus/terpenes-gelato,2,no,,1.00,NO-VINCULAR,"SABOR distinto: SABOR chocolate vs destino gelato"
of16101,piranha,"Cajita de Almacenamiento Mini Tin Lion Rolling Circus | PIRANHA",2490,10565,lion-rolling-circus/cenicero-metalico,3,no,,1.25,NO-VINCULAR,"TALLA: mini tin es miniatura/accesorio, no cenicero"
of15958,piranha,"""Blunt Wrap Tequila Lion Rolling Circus | PIRANHA""",1990,10543,lion-rolling-circus/hemp-wrap-kkksh,2,no,,1.00,VINCULAR,"similitud 0.667, ya tiene piranha"
of16137,piranha,"""Blunt Wrap Lion Rolling Circus""",1990,10733,lion-rolling-circus/terpenes-gelato,2,no,,1.00,VINCULAR,"similitud 0.714, ya tiene piranha"
of16019,piranha,"Blunt Wrap Blueberry Lion Rolling Circus",1990,10733,lion-rolling-circus/terpenes-gelato,2,no,,1.00,NO-VINCULAR,"SABOR distinto: SABOR blueberry vs destino gelato"
of254,piranha,"""Figura Lion Rolling Circus Bobblehead Ruby | PIRANHA""",22491,,,,,,"",NO-VINCULAR,"ratio 11.3 o similitud 0.444 — modelo distinto"
of15929,piranha,"""Blunt Wrap Bubble Gum Lion Rolling Circus | PIRANHA""",1990,8638,blunt-wrap/wrap-platinum-2u,2,"",SUMA-TIENDA,2.01,NECESITA-FOTO,"ratio 2.01 + similitud baja 0.364"
of11145,piranha,"Moledor Metálico Lion Rolling Circus 5cm 3 Partes | PIRANHA",8541,5515,lion-rolling-circus/metal-2-partes,3,no,,1.13,NO-VINCULAR,"TALLA: 3 partes es producto distinto de 2-partes"
of11146,piranha,"Moledor Metálico Gold Lion Rolling Circus 5cm 3 Partes | PIRANHA",7981,5515,lion-rolling-circus/metal-2-partes,3,no,,1.05,NO-VINCULAR,"TALLA: 3 partes es producto distinto de 2-partes"
of11147,piranha,"""Moledor Acrílico Lion Rolling Circus 6cm 3 partes | PIRANHA""",3990,5515,lion-rolling-circus/metal-2-partes,3,"",,1.90,NECESITA-FOTO,"ratio 1.90 + similitud baja 0.455"
of15881,piranha,"""Tubo Plástico Guarda Caño Lion Rolling Circus | PIRANHA""",1490,10452,lion-rolling-circus/alfalfa-king-size,3,no,,1.07,VINCULAR,"similitud 0.364, ya tiene piranha"
of11252,piranha,"Pack 6 Conos Pre-Enrolados Unbleached 1 1/4 Lion Rolling Circus | PIRANHA",2490,5707,blazy-susan/pre-roll-purple-1-1-4-6u,3,no,,1.52,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA lion-rolling-circus->blazy-susan"
of15817,piranha,"Bandeja Lion Rolling Circus Medium 30x23cm| PIRANHA",7990,10619,lion-rolling-circus/large,2,no,,1.13,NO-VINCULAR,"TALLA: medium es talla distinta de large"
of485,piranha,"Filtro Prerolled Lion Rolling Circus",2490,10620,lion-rolling-circus/small,3,no,,2.20,NO-VINCULAR,"RATIO 0.45x — accesorio/repuesto vs kit"
of379,piranha,"Papelillo Mind Mint 1 1/4 Lion Rolling Circus | PIRANHA",1226,10274,lion-rolling-circus/alfalfa,5,si,,1.24,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of80788,piranha,"Papelillo Funky Chocolate 1 1/4 Lion Rolling Circus | PIRANHA",1226,10274,lion-rolling-circus/alfalfa,5,si,,1.24,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of15734,piranha,"""Papelillo Crazy Coco Lion Rolling Circus""",1226,10646,lion-rolling-circus/flavored-1-1-4,2,no,,1.13,VINCULAR,"similitud 0.500, ya tiene piranha"
of15763,piranha,"Papelillo Chewing Madness 1 1/4 Lion Rolling Circus | PIRANHA",1226,10274,lion-rolling-circus/alfalfa,5,si,,1.24,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of15684,piranha,"Blunt Wrap Grape Lion Rolling Circus | PIRANHA",1990,10543,lion-rolling-circus/hemp-wrap-kkksh,2,no,,1.00,NO-VINCULAR,"SABOR distinto: SABOR grape vs destino kkksh"
of11238,piranha,"""Filtro Cartón Enrolado OCB""",2990,10870,ocb/regular-7-5mm,2,"",SUMA-TIENDA,2.30,NECESITA-FOTO,"ratio 2.30 + similitud baja 0.400"
of15805,piranha,"""Filtros OCB Virgin Slim 6mm (150u)""",1990,5720,ocb/paper-filter-virgin,3,"",,3.62,NECESITA-FOTO,"ratio 3.62 — verificar modelo"
of11244,piranha,"""Máquina Enroladora Metálica OCB Nº1""",6490,10463,ocb/enroladora-metalica-1-1-4,2,no,,1.08,VINCULAR,"similitud 0.800, ya tiene piranha"
of11245,piranha,"""Filtros OCB Regular 7.5mm (100u)""",1790,10870,ocb/regular-7-5mm,2,no,SUMA-TIENDA,1.38,VINCULAR,"similitud 0.600, SUMA-TIENDA a P10870 (2t)"
of11257,piranha,"""Máquina Enroladora Acrílica OCB 1""",3990,5797,ocb/rolling-machine-acrilica-1-1-4,3,no,,1.25,VINCULAR,"similitud 0.800, ya tiene piranha"
of15839,piranha,"""Filtros OCB Mentolado 6mm (150u)""",1990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16117,piranha,"""Bandeja OCB (Diseño aleatorio)""",7990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of3391,piranha,"Papelillo OCB Virgin 1 | PIRANHA",890,5816,ocb/virgin,5,si,,1.11,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of298,piranha,"Papelillo OCB Ultimate 1",890,10859,elements/rice-1-1-4,2,no,SUMA-TIENDA,1.13,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA ocb->elements"
of16113,piranha,"""Kit OCB x Piranha""",8390,10369,ocb/roll-kit-virgin-king-size,2,"",,2.72,NECESITA-FOTO,"ratio 2.72 — verificar modelo"
of299,piranha,"Papelillo OCB Azul Premium 1 1/4",890,6008,ocb/premium,5,si,,1.11,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of15806,piranha,"""Filtros OCB Slim Engomado 6mm (150u)""",1990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11211,piranha,"Filtros OCB ECO Slim 6mm (120u)",1990,10243,ocb/paper-filter-slim,2,no,SUMA-TIENDA,1.53,NO-VINCULAR,"TALLA: 6mm es diámetro distinto de paper-filter-slim"
of11221,piranha,"Conos PreEnrolados OCB Ultra Fino 109mm (3u)| PIRANHA",1790,5714,ocb/pre-roll-virgin-king-size-slim-3u,3,no,,1.11,VINCULAR,"109mm ≈ king size slim — talla compatible"
of15759,piranha,"""Bong K9 - Piecemaker | PIRANHA""",35994,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16165,piranha,"""Kap (Carb Cap) PieceMaker (Color aleatorio) | PIRANHA""",990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15746,piranha,"""Contenedor Piecemaker Large""",5490,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of678,piranha,"Vaporizador Puffco New Peak | PIRANHA",295992,10649,puffco/peak-pro,2,no,SUMA-TIENDA,1.82,NECESITA-FOTO,"RATIO 0.55x — verificar modelo"
of80305,piranha,"""Puffco New Peak Pro 3DXL LTD Plasma Edition Chamber | PIRANHA""",179991,10639,puffco/chamber-3dxl-onyx,2,no,,1.11,VINCULAR,"similitud 0.818, ya tiene piranha"
of81217,piranha,"""Polera HigherTech Puffco | PIRANHA""",28491,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16231,piranha,"""Accesorio Proxy Droplet - Puffco""",118992,10443,puffco/proxy,2,"",SUMA-TIENDA,2.94,NECESITA-FOTO,"ratio 2.94 — verificar modelo"
of16172,piranha,"Accesorio Puffco New Hot Knife | PIRANHA",85491,10312,puffco/hot-knife,4,si,,1.19,NO-VINCULAR,"producto congelado (4t) ya tiene piranha"
of16170,piranha,"""Accesorio Puffco Proxy Core | PIRANHA""",104491,10559,puffco/proxy-wizard,2,no,,1.50,VINCULAR,"similitud 0.500, ya tiene piranha"
of16064,piranha,"""Vaporizador Puffco New Proxy Kit - Puffco""",299993,10443,puffco/proxy,2,no,SUMA-TIENDA,1.17,VINCULAR,"similitud 0.600, SUMA-TIENDA a P10443 (2t)"
of16211,piranha,"""Vaporizador Modular Puffco Proxy Core Kit Onyx | PIRANHA""",427491,10443,puffco/proxy,2,no,SUMA-TIENDA,1.22,VINCULAR,"similitud 0.375, SUMA-TIENDA a P10443 (2t)"
of16148,piranha,"""Peak Pro Colored Ball Cap""",31992,10449,puffco/peak-pro-ball-cap,3,no,,1.01,VINCULAR,"similitud 0.667, ya tiene piranha"
of16146,piranha,"""Peak Pro Colored Glass""",99990,10433,puffco/peak-pro-glass,3,no,,1.43,VINCULAR,"similitud 0.600, ya tiene piranha"
of16040,piranha,"""Vaporizador Proxy Kit Black - Puffco""",258993,10443,puffco/proxy,2,no,SUMA-TIENDA,1.35,VINCULAR,"similitud 0.600, SUMA-TIENDA a P10443 (2t)"
of16232,piranha,"""Proxy Ball Cap - Puffco""",31992,,,,,,"",NO-VINCULAR,"ratio 10.9 o similitud 0.400 — modelo distinto"
of16142,piranha,"""Proxy Travel Pipe""",53991,10658,puffco/proxy-travel-pack,2,no,,1.48,VINCULAR,"similitud 0.500, ya tiene piranha"
of94237,piranha,"""Display 800 Conos RAW King Size | PIRANHA""",188991,,,,,,"",NO-VINCULAR,"ratio 95.0 o similitud 0.429 — modelo distinto"
of11243,piranha,"""Anillo RAW Dorado Smoker 24K""",39992,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15878,piranha,"""Anillo RAW Black Smoker Ring (Talla 9/Talla 10) | PIRANHA""",39992,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11241,piranha,"""Filtros RAW Cono Perfect (32u)""",890,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of93698,piranha,"""Jockey RAW Camuflado con Spot Secreto | PIRANHA""",14241,10589,raw/jockey-flat-snapback-black,2,no,,1.10,VINCULAR,"similitud 0.545, ya tiene piranha"
of3530,piranha,"""Papelillo RAW Black Organic Hemp King Size | PIRANHA""",1290,10272,raw/black-king-size-slim,3,no,,1.00,VINCULAR,"similitud 0.714, ya tiene piranha"
of93721,piranha,"Llavero RAW Bandeja Miniatura Silver | PIRANHA",3990,10617,raw/metal-metal-medium,3,no,,1.93,NECESITA-FOTO,"RATIO 0.52x — verificar modelo"
of93880,piranha,"""Cajita Conos RAW Black 1 1/4 (20u) | PIRANHA""",7591,,,,,,"",NO-VINCULAR,"ratio 7.0 o similitud 0.500 — modelo distinto"
of93936,piranha,"""Cajita Metálica Porta Papelillos RAW Black 1 1/4 | PIRANHA""",1990,10186,raw/black-connoisseur-1-1-4-tips,1,no,SUMA-TIENDA,1.47,VINCULAR,"similitud 0.364, SUMA-TIENDA a P10186 (1t)"
of707,piranha,"""Alfombra RAW Negra 60x80cm""",34553,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11070,piranha,"""Cajita Metálica RAW Rectangular | PIRANHA""",2490,10513,raw/cajita-cigarrera-tapa-deslizante,2,no,,1.60,VINCULAR,"similitud 0.500, ya tiene piranha"
of94428,piranha,"""Figura Decorativa RAW Dancing Cone | PIRANHA""",29751,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of11209,piranha,"""Jockey RAW con Spot Secreto""",12341,10589,raw/jockey-flat-snapback-black,2,no,,1.05,VINCULAR,"similitud 0.500, ya tiene piranha"
of708,piranha,"""Vela RAW de Cáñamo Neutralizadora de Olores""",16992,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of15965,piranha,"""Polera RAW Beige (S/M/L/XL) | PIRANHA""",14993,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of93997,piranha,"""RAW Pins Tarjeta con 4 Diseños | PIRANHA""",14951,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of1342,piranha,"""Cenicero RAW Vidrio (Dark Side/Rainbow) | PIRANHA""",29742,10617,raw/metal-metal-medium,3,"",,3.87,NECESITA-FOTO,"ratio 3.87 — verificar modelo"
of93208,piranha,"Moledor RAW Silver 5,5cm 4 Partes | PIRANHA",19992,10349,g-rollz/aluminio-4p-53mm,2,no,,1.20,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA raw->g-rollz + TALLA/FORMATO 5,5cm ausente en el destino"
of14337,piranha,"Bandeja Metálica RAW Fly High | PIRANHA",5990,10285,raw/prepare-for-flight-grande,2,no,SUMA-TIENDA,1.83,NECESITA-FOTO,"RATIO 0.55x — verificar modelo"
of93264,piranha,"Moledor Hammercraft x RAW 6cm 4 Partes | PIRANHA",24792,5502,galaxy/new-pro-model,4,si,,1.25,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA raw->galaxy + CONGELADO-TIENDA-YA-PRESENTE (4t)"
of94430,piranha,"""Letrero Luminoso RAW LED Sign | PIRANHA""",158091,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of93294,piranha,"""Papelillo RAW Black Connoisseur 1 1/4 + Boquilla | PIRANHA""",1590,10186,raw/black-connoisseur-1-1-4-tips,1,no,SUMA-TIENDA,1.18,VINCULAR,"similitud 0.625, SUMA-TIENDA a P10186 (1t)"
of94236,piranha,"""Display 1.000 Conos RAW Pre-Enrolados 1 1/4 | PIRANHA""",179991,,,,,,"",NO-VINCULAR,"ratio 82.2 o similitud 0.500 — modelo distinto"
of93353,piranha,"""Bolsa RAW Tote Bag 40x60cm | PIRANHA""",7990,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of93637,piranha,"""Gorro de Lana con Parche RAW | PIRANHA""",17991,10430,raw/gorro-lana,2,no,,1.00,VINCULAR,"similitud 0.571, ya tiene piranha"
of94234,piranha,"""Tubo Case RAW Metal Tube Porta Joint | PIRANHA""",4990,10739,galaxy/case-porta-joint,2,"",,2.40,NECESITA-FOTO,"ratio 2.40 + similitud baja 0.444"
of93658,piranha,"""Jockey RAW Trucker Camuflado con Beige y Spot Secreto | PIRANHA""",14241,10589,raw/jockey-flat-snapback-black,2,no,,1.10,VINCULAR,"similitud 0.462, ya tiene piranha"
of94479,piranha,"""Polera RAW Negra (S/M/L/XL) | PIRANHA""",14993,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of94429,piranha,"Bandeja Metálica RAW Roja Mediana | PIRANHA",7990,10190,raw/classic-mediana,4,si,,1.04,NO-VINCULAR,"producto congelado (4t) ya tiene piranha"
of27263,piranha,"""Filtros Soulblime Berrymint Slim Filters 6x15mm (150u) | PIRANHA""",1290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of53604,piranha,"""Conos PreEnrolados Soulblime Pink Cones King Size (6u) | PIRANHA""",2390,10195,g-rollz/pre-roll-pink-king-size-20u,2,"",,3.55,NECESITA-FOTO,"ratio 3.55 — verificar modelo"
of11266,piranha,"""Filtros Soulblime Slim Filters 6x15mm (200u) | PIRANHA""",1290,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of16059,piranha,"""Bolsita Hermetica Antiolor - Soulblime | PIRANHA""",790,,,,,,"",NO-VINCULAR,"sin candidatos curados"
of79859,piranha,"Hemp Wraps Blunt Soulblime | PIRANHA",1000,10388,soulblime/hemp-blunt-wrap-sabores,5,si,,1.00,NO-VINCULAR,"producto congelado (5t) ya tiene piranha"
of16108,piranha,"Filtro Tips Soulblime | PIRANHA",590,5716,raw/paper-tip-classic,3,no,,1.48,NO-VINCULAR,"CRUZA-MARCA: CRUZA-MARCA soulblime->raw"
of16125,piranha,"""Cenicero Soulblime | PIRANHA""",1990,10533,soulblime/cenicero-metalico,2,no,SUMA-TIENDA,1.10,VINCULAR,"similitud 0.400, SUMA-TIENDA a P10533 (2t)"
of16129,piranha,"""Caja Soulblime""",1990,10736,soulblime/desmontable,2,no,,1.25,VINCULAR,"similitud 0.400, ya tiene piranha"
of16135,piranha,"Caja Soulblime Grande con Bisagra | PIRANHA",2490,10736,soulblime/desmontable,2,no,,1.00,NO-VINCULAR,"TALLA: grande es talla distinta de desmontable"
of16139,piranha,"""Tubo Soulblime""",1490,,,,,,"",NO-VINCULAR,"sin candidatos curados"
