offerId,tienda,titulo,precio,productId,modelSlug,tiendasDestino,ratioPrecio,senal,queVendeEstaTiendaEnElDestino,identidadOferta
78257,astrogrowshop,The Boss Con Candado Clave 20 Cm -Dime Bags - RED,32990,P10491,dime-bags/the-boss-20cm,2t,1.03,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=TXCGTBSCC20CMRED ean=- variante=RED base=https://astrogrowshop.cl/the-boss-con-candado-clave-20-cm-dime-bags
12971,fumetas,Atomizador Focus V Intelli-Core Para Hierba Seca,39990,P10414,focus-v/intelli-core-hierba-carta-2,2t,0.84,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=FCUS-ATINCO ean=- variante=- base=https://fumetas.cl/atomizador-focus-v-intelli-core-para-hierba-seca
12988,fumetas,Focus V Atomizador Intelli-Core Max,119990,P10414,focus-v/intelli-core-hierba-carta-2,2t,2.53,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=FCUSV-ATINCMAX ean=810058614919 variante=- base=https://fumetas.cl/focus-v-atomizador-intelli-core-max
19753,fumetas,Focus V Aeris Bubbler,109990,P10460,focus-v/bateria-intercambiable-aeris,2t,1.10,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=FCUSV-AEBBN ean=810058614889 variante=- base=https://fumetas.cl/focus-v-aeris-bubbler
12989,fumetas,Galaxy Batería Cartridge 510,11490,P10595,galaxy/bateria-escondida-black,2t,0.48,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=GLXY-BCAR18N ean=- variante=- base=https://fumetas.cl/galaxy-bateria-cartridge-18v
19924,fumetas,Galaxy Batería Hide Cartridge 510,24990,P10595,galaxy/bateria-escondida-black,2t,1.04,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=GLXY-BHINE ean=- variante=- base=https://fumetas.cl/galaxy-bateria-hide-cartridge-510
34317,fumetas,Galaxy Batería Cartridge 510 - Negro,11490,P10595,galaxy/bateria-escondida-black,2t,0.48,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=GLXY-BCAR18N ean=- variante=Negro base=https://fumetas.cl/galaxy-bateria-cartridge-18v
34318,fumetas,Galaxy Batería Cartridge 510 - Blanco,11490,P10595,galaxy/bateria-escondida-black,2t,0.48,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=GLXY-BCAR18B ean=- variante=Blanco base=https://fumetas.cl/galaxy-bateria-cartridge-18v
34319,fumetas,Galaxy Batería Cartridge 510 - Azul,11490,P10595,galaxy/bateria-escondida-black,2t,0.48,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=GLXY-BCAR18A ean=- variante=Azul base=https://fumetas.cl/galaxy-bateria-cartridge-18v
18103,astrogrowshop,Vaporizador para extractos Roam -G Pen,239990,P10541,g-pen/roam,2t,1.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=VPGPCKRMVAP ean=- variante=- base=https://astrogrowshop.cl/vaporizador-roam-g-pen
32911,astrogrowshop,Vaporizador para extractos Roam -G Pen - Negro,179990,P10541,g-pen/roam,2t,0.75,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=VPGPRMBLACK ean=- variante=Negro base=https://astrogrowshop.cl/vaporizador-roam-g-pen
92466,astrogrowshop,Vaporizador para extractos Roam -G Pen - BLACK,179990,P10541,g-pen/roam,2t,0.75,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=VPGPRMBLACK ean=- variante=BLACK base=https://astrogrowshop.cl/vaporizador-roam-g-pen
12560,astrogrowshop,Filtro De Reemplazo Blaze The Cactus Pack X3,32990,P10540,hemper/smoke-fiends-blaze-the-cactus,2t,1.15,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=SMKFDSFTRM3BLZCTS ean=- variante=- base=https://astrogrowshop.cl/filtro-de-reemplazo-blaze-the-cactus-pack-x3
19393,fumetas,HighTrip Pin Trascendence,8990,P10682,hightrip/pin-joint,2t,1.11,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINTRASC ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence-1
19393,fumetas,HighTrip Pin Trascendence,8990,P10683,hightrip/pin-crossjoint,2t,0.90,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINTRASC ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence-1
19393,fumetas,HighTrip Pin Trascendence,8990,P10873,hightrip/pin-highskulls-2,2t,1.11,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINTRASC ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence-1
20223,fumetas,HighTrip Pin Highfries,8091,P10682,hightrip/pin-joint,2t,1.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-HIGHFRI ean=- variante=- base=https://fumetas.cl/hightrip-pin-highfries
20223,fumetas,HighTrip Pin Highfries,8091,P10683,hightrip/pin-crossjoint,2t,0.81,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-HIGHFRI ean=- variante=- base=https://fumetas.cl/hightrip-pin-highfries
20223,fumetas,HighTrip Pin Highfries,8091,P10873,hightrip/pin-highskulls-2,2t,1.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-HIGHFRI ean=- variante=- base=https://fumetas.cl/hightrip-pin-highfries
20224,fumetas,HighTrip Pin Cenicero 420,8991,P10682,hightrip/pin-joint,2t,1.11,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINCENI ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence
20224,fumetas,HighTrip Pin Cenicero 420,8991,P10683,hightrip/pin-crossjoint,2t,0.90,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINCENI ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence
20224,fumetas,HighTrip Pin Cenicero 420,8991,P10873,hightrip/pin-highskulls-2,2t,1.11,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=HT-PINCENI ean=- variante=- base=https://fumetas.cl/hightrip-pin-transcendence
449,fumetas,Kush Cono de Oro Hemp Preenrolado King Size 24K,11990,P10196,kush-hemp/gold-cone-1u,2t,0.80,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=KSH-CON ean=644536253778 variante=- base=https://fumetas.cl/kush-cono-de-oro-hemp-preenrolado-king-size-24k
12273,astrogrowshop,Paper Flavour 1 1/4 Crazy Coco- Lion Rolling Circus,1290,P10646,lion-rolling-circus/flavored-1-1-4,2t,0.93,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1013 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-crazy-coco-lion-rolling-circus
12273,astrogrowshop,Paper Flavour 1 1/4 Crazy Coco- Lion Rolling Circus,1290,P10234,lion-rolling-circus/case-1-1-4,2t,0.52,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1013 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-crazy-coco-lion-rolling-circus
12273,astrogrowshop,Paper Flavour 1 1/4 Crazy Coco- Lion Rolling Circus,1290,P10707,lion-rolling-circus/celulosa-transparente-1-1-4,3t,0.72,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1013 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-crazy-coco-lion-rolling-circus
12274,astrogrowshop,Paper Flavour 1 1/4 Electric Grape- Lion Rolling Circus,1290,P10646,lion-rolling-circus/flavored-1-1-4,2t,0.93,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1085 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-electric-grape-lion-rolling-circus
12274,astrogrowshop,Paper Flavour 1 1/4 Electric Grape- Lion Rolling Circus,1290,P10234,lion-rolling-circus/case-1-1-4,2t,0.52,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1085 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-electric-grape-lion-rolling-circus
12274,astrogrowshop,Paper Flavour 1 1/4 Electric Grape- Lion Rolling Circus,1290,P10707,lion-rolling-circus/celulosa-transparente-1-1-4,3t,0.72,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=PFLRC1085 ean=- variante=- base=https://astrogrowshop.cl/paper-flavour-1-14-electric-grape-lion-rolling-circus
12622,astrogrowshop,Papel Ultra Thin King Size Silver- Lion Rolling Circus,1990,P10655,lion-rolling-circus/silver-big-smoke,3t,2.21,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=AYPLRCUTSSIL ean=- variante=- base=https://astrogrowshop.cl/papel-ultra-thin-king-size-silver-lion-rolling-circus
12622,astrogrowshop,Papel Ultra Thin King Size Silver- Lion Rolling Circus,1990,P10732,lion-rolling-circus/flavored-big-smoke,2t,0.83,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=AYPLRCUTSSIL ean=- variante=- base=https://astrogrowshop.cl/papel-ultra-thin-king-size-silver-lion-rolling-circus
12622,astrogrowshop,Papel Ultra Thin King Size Silver- Lion Rolling Circus,1990,P10620,lion-rolling-circus/small,3t,0.36,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=AYPLRCUTSSIL ean=- variante=- base=https://astrogrowshop.cl/papel-ultra-thin-king-size-silver-lion-rolling-circus
37204,fumetas,LRC Blunt Hemp Wrap x2 - Sabores - Strawberry,1290,P10654,lion-rolling-circus/terpenes-strawberry-shortcake,2t,0.65,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=LRC-BHWST ean=7798121250956 variante=Strawberry base=https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
37209,fumetas,LRC Blunt Hemp Wrap x2 - Sabores - Grape,1290,P10567,lion-rolling-circus/hemp-wrap-electric-grape,2t,0.65,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=LRC-BHWGR ean=7798121253827 variante=Grape base=https://fumetas.cl/lrc-blunt-hemp-wrap-sabores-surtidos
13592,fumetas,Naar Encendedor Soplete Up On Cloud9,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOUC ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-up-on-cloud9
19509,fumetas,Naar Encendedor Soplete The S*x Is Out Of This World,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOTS ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-the-sx-is-out-of-this-world
20025,fumetas,Naar Encendedor Soplete Bong Blast,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOBB ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-bong-blast
20026,fumetas,Naar Encendedor Soplete Brain Fried,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOBF ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-brain-fried
20027,fumetas,Naar Encendedor Soplete Cheesy Descovery,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOCD ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-cheesy-descovery
20030,fumetas,Naar Encendedor Soplete Moo B*tch!,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOMB ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-moo-btch
20031,fumetas,Naar Encendedor Soplete Wild Side,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOWS ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-wild-side
20106,fumetas,Naar Encendedor Soplete Eyeconic,12990,P10845,naar/one,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=NAAR-ENCOE ean=- variante=- base=https://fumetas.cl/naar-encendedor-soplete-eyeconic
19789,fumetas,Ozeta Techbag - Anti Olor,54990,P10547,ozeta/techbag,2t,1.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-TBAG ean=- variante=- base=https://fumetas.cl/ozeta-techbag-anti-olor
34291,fumetas,Ozeta Estuche grande - Anti-olor - Rosado,36990,P10547,ozeta/techbag,2t,0.67,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-EGPI ean=- variante=Rosado base=https://fumetas.cl/ozeta-estuche-grande
34292,fumetas,Ozeta Estuche grande - Anti-olor - Cian,36990,P10547,ozeta/techbag,2t,0.67,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-ECYG ean=- variante=Cian base=https://fumetas.cl/ozeta-estuche-grande
34296,fumetas,Ozeta Estuche mediano - Anti-olor - Rosado,32990,P10547,ozeta/techbag,2t,0.60,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-ESTMP ean=- variante=Rosado base=https://fumetas.cl/ozeta-estuche-mediano
34297,fumetas,Ozeta Estuche mediano - Anti-olor - Cian,32990,P10547,ozeta/techbag,2t,0.60,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-ECYM ean=- variante=Cian base=https://fumetas.cl/ozeta-estuche-mediano
34299,fumetas,Ozeta Estuche pequeño - Anti-olor - Morado,28990,P10547,ozeta/techbag,2t,0.53,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-EPPU ean=- variante=Morado base=https://fumetas.cl/ozeta-estuche-pequeno
34300,fumetas,Ozeta Estuche pequeño - Anti-olor - Rosado,28990,P10547,ozeta/techbag,2t,0.53,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=OZTA-EPP ean=- variante=Rosado base=https://fumetas.cl/ozeta-estuche-pequeno
18165,astrogrowshop,Kirby - Pmg,44990,P10645,piecemaker/kirby,2t,1.00,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BGPMGKBCL ean=- variante=- base=https://astrogrowshop.cl/kirby-pmg
17204,astrogrowshop,New Peak Pro Dessert-Puffco,467490,P10649,puffco/peak-pro,2t,0.87,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=VPPFNPPDESS ean=- variante=- base=https://astrogrowshop.cl/new-peak-pro-dessert-puffco
1143,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw 2,1490,P10622,raw/metal-metal-large,2t,0.14,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMMDL2RAW2 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw-2
1143,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw 2,1490,P10617,raw/metal-metal-medium,3t,0.19,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMMDL2RAW2 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw-2
12172,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw Girl,1490,P10622,raw/metal-metal-large,2t,0.14,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMRAW2GIRL ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw-girl
12172,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw Girl,1490,P10617,raw/metal-metal-medium,3t,0.19,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMRAW2GIRL ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw-girl
12174,astrogrowshop,Bandeja Rolado Metalica 28X18Cm Raw Mix,2990,P10622,raw/metal-metal-large,2t,0.27,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRGRAWMIX2 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-28x18cm-raw-mix
12174,astrogrowshop,Bandeja Rolado Metalica 28X18Cm Raw Mix,2990,P10617,raw/metal-metal-medium,3t,0.39,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRGRAWMIX2 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-28x18cm-raw-mix
12220,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw,1490,P10622,raw/metal-metal-large,2t,0.14,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMRAW218 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw
12220,astrogrowshop,Bandeja Rolado Metalica 18X12Cm Raw,1490,P10617,raw/metal-metal-medium,3t,0.19,TIENDA-AUSENTE,(el destino no tiene esta tienda),sku=BTBRMMRAW218 ean=- variante=- base=https://astrogrowshop.cl/bandeja-rolado-metalica-18x12cm-raw
