offerId,title,category,brandKey,price,motivo,confianza
89002,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Blue razz ice","Otros parafernalia",,14990,pod-kit-eliquido,alta
87962,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Peach Mango Watermelon","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88537,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Grape Apple","Otros parafernalia",,4990,pod-kit-eliquido,alta
88696,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Blueberry","Otros parafernalia",,7990,desechable-sabores,alta
87960,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Peach Ice","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88994,"Vaporizador Desechable Nexbar 10.000 Puffs - Strawberry ice","Otros parafernalia",,14990,desechable-sabores,alta
88709,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Peach Mango Watermelon","Otros parafernalia",,15990,desechable-sabores,alta
89009,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Monster ice","Otros parafernalia",,14990,pod-kit-eliquido,alta
88540,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Monster ice","Otros parafernalia",,4990,pod-kit-eliquido,alta
88121,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Mango Trio Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88123,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Menta Tropical","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88747,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Durazno mango sandia ice / kiwi frutilla","Otros parafernalia",,17933,desechable-sabores,alta
88945,"Vaporizador Desechable Vpro 24.000 Puffs - MintyO&amp;#39;S","Otros parafernalia",,12990,desechable-sabores,alta
88767,"Vaporizador Desechable Nexbar 25.000 Puffs - Blueberry Rasperry","Otros parafernalia",,19990,desechable-sabores,alta
88874,"Vaporizador Desechable Fluumbar 8.000 Puffs - Menta Ice","Otros parafernalia",,9990,desechable-sabores,alta
88876,"Vaporizador Desechable Fluumbar 8.000 Puffs - Mora Menta","Otros parafernalia",,9990,desechable-sabores,alta
88948,"Vaporizador Desechable Vpro 24.000 Puffs - Black Ice","Otros parafernalia",,12990,desechable-sabores,alta
88012,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Rosa","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88013,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Negro","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88014,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Aleatorio","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88016,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Plateado","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88996,"Vaporizador Desechable Nexbar 10.000 Puffs - Strawberry Mango","Otros parafernalia",,14990,desechable-sabores,alta
88991,"Vaporizador Desechable Nexbar 10.000 Puffs - Blueberry raspberry","Otros parafernalia",,14990,desechable-sabores,alta
88117,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Limon frutilla Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88753,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Chicle Uva / Durazno mango sandia ice","Otros parafernalia",,17933,desechable-sabores,alta
89003,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Caramel tobacco","Otros parafernalia",,14990,pod-kit-eliquido,alta
89005,"Vaporizador Wotofo Nexpod Kit 5000 Puffs - Forest berries","Otros parafernalia",,14990,pod-kit-eliquido,alta
88214,"Oxbar TriFusion 45k - Grape Raspberry","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88216,"Oxbar TriFusion 45k - Strawberry Kiwi Watermelon","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88739,"Batería Vaporizador Nexpod Wotofo - Black","Repuestos para bongs y vaporizadores",,10990,pod-kit-eliquido,alta
88543,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Grape Ice","Otros parafernalia",,4990,pod-kit-eliquido,alta
88125,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Sandia Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88274,"Bateria Vaporizador Oxbar Svopp - Gunmetal","Vaporizadores electronicos",oxbar,12990,desechable-sabores,alta
88974,"Vaporizador Vaporesso Xros Pro Kit - Negro","Vaporizadores herbales",,34990,pod-kit-eliquido,alta
88976,"Vaporizador Vaporesso Xros Pro Kit - Rosa","Vaporizadores herbales",,34990,pod-kit-eliquido,alta
88982,"Vaporizador Vaporesso Xros Pro Kit - Azul","Vaporizadores herbales",,34990,pod-kit-eliquido,alta
88947,"Vaporizador Desechable Vpro 24.000 Puffs - Rainbow","Otros parafernalia",,12990,desechable-sabores,alta
88215,"Oxbar TriFusion 45k - Double Mint","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88771,"Vaporizador Desechable Nexbar 25.000 Puffs - Grape Ice","Otros parafernalia",,19990,desechable-sabores,alta
88978,"Vaporizador Vaporesso Xros Pro Kit - Aleatorio","Vaporizadores herbales",,34990,pod-kit-eliquido,alta
88937,"Vaporizador Desechable Vpro 24.000 Puffs - Kiwi Berry ice","Otros parafernalia",,12990,desechable-sabores,alta
88741,"Batería Vaporizador Nexpod Wotofo - Blue","Repuestos para bongs y vaporizadores",,10990,pod-kit-eliquido,alta
87963,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Strawberry Watermelon","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88763,"Vaporizador Desechable Nexbar 25.000 Puffs - Fresh Mojito Menthol","Otros parafernalia",,19990,desechable-sabores,alta
88766,"Vaporizador Desechable Nexbar 25.000 Puffs - Blue razz ice","Otros parafernalia",,19990,desechable-sabores,alta
88743,"Batería Vaporizador Nexpod Wotofo - Red","Repuestos para bongs y vaporizadores",,10990,pod-kit-eliquido,alta
87964,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Tobacco Virginia","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
87966,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Watermelon Ice","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88017,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Amarillo","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88018,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Rojo","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88020,"Vaporizador Vaporesso Xros Nano 3 Pod Kit Original. - Azul","Vaporizadores herbales",,29000,pod-kit-eliquido,alta
88106,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Green Apple sour","Vaporizadores electronicos",oxbar,16990,desechable-sabores,alta
88108,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Miami mint","Vaporizadores electronicos",oxbar,16990,desechable-sabores,alta
88119,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Limonada de Arandano","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88124,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Sandia Durazno Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88126,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Uva Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88128,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Uva Manzana","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
88547,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Blueberry raspberry","Otros parafernalia",,4990,pod-kit-eliquido,alta
88706,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Watermelon Ice","Otros parafernalia",,15990,desechable-sabores,alta
87952,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Blueberry Raspberry Lemon","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
87954,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Extreme Mint","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
87956,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Grape Ice","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88533,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Piña colada","Otros parafernalia",,4990,pod-kit-eliquido,alta
88535,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Menta","Otros parafernalia",,4990,pod-kit-eliquido,alta
88539,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Blue razz ice","Otros parafernalia",,4990,pod-kit-eliquido,alta
88541,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Watermelon Ice","Otros parafernalia",,4990,pod-kit-eliquido,alta
88545,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Lemon mint","Otros parafernalia",,4990,pod-kit-eliquido,alta
88097,"Vaporizador Desechable Oxbar Liso 28.000 Puffs - Blue razz ice","Vaporizadores electronicos",oxbar,16990,desechable-sabores,alta
88712,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Blackberry Razz","Otros parafernalia",,15990,desechable-sabores,alta
88749,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mango maracuya ice / Mix frutos rojos","Otros parafernalia",,17933,desechable-sabores,alta
88211,"Oxbar TriFusion 45k - Pineapple Mango Watermelon","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88611,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - White Grape Ice","Otros parafernalia",,23990,desechable-sabores,alta
88613,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Raspberry Sour Apple","Otros parafernalia",,23990,desechable-sabores,alta
88272,"Bateria Vaporizador Oxbar Svopp - Black","Vaporizadores electronicos",oxbar,12990,desechable-sabores,alta
88859,"Vaporizador Desechable Fluumbar 8.000 Puffs - Mix Frutos Rojos","Otros parafernalia",,9990,desechable-sabores,alta
88615,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Alphonso Mango","Otros parafernalia",,23990,desechable-sabores,alta
88617,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Razz Banana","Otros parafernalia",,23990,desechable-sabores,alta
88760,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Frutilla Mango Ice/Frutilla maracuya ice","Otros parafernalia",,17933,desechable-sabores,alta
88619,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Blue Razz Lemonade","Otros parafernalia",,23990,desechable-sabores,alta
88622,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Blackberry Razz","Otros parafernalia",,23990,desechable-sabores,alta
88623,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Pink Lemonade","Otros parafernalia",,23990,desechable-sabores,alta
88115,"Vaporizador Desechable Oxbar Mini 2200 Puffs - Arandano Ice","Vaporizadores electronicos",oxbar,7490,desechable-sabores,alta
87958,"Cartucho Recarga Oxbar Svopp 25.000 Puffs - Grapefruit Passion Fruit","Vaporizadores electronicos",oxbar,14990,desechable-sabores,alta
88531,"Vaporizador Desechable Wotofo Nano 1000 Puffs - Mango Peach Ice","Otros parafernalia",,4990,pod-kit-eliquido,alta
88755,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Cereza arandano ice / Frutilla Sandia ice","Otros parafernalia",,17933,desechable-sabores,alta
88751,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Chicle / Frutilla Sandia Ice","Otros parafernalia",,17933,desechable-sabores,alta
88756,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Mix Frutos Rojos / Sandia Ice","Otros parafernalia",,17933,desechable-sabores,alta
88606,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Peach Mango Watermelon","Otros parafernalia",,23990,desechable-sabores,alta
88608,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Watermelon Ice","Otros parafernalia",,23990,desechable-sabores,alta
88609,"Vaporizador Desechable Gremlin Phantom X 50.000 Puffs - Clear","Otros parafernalia",,23990,desechable-sabores,alta
88860,"Vaporizador Desechable Fluumbar 8.000 Puffs - Uva Ice","Otros parafernalia",,9990,desechable-sabores,alta
88737,"Batería Vaporizador Nexpod Wotofo - Gunmetal","Repuestos para bongs y vaporizadores",,10990,pod-kit-eliquido,alta
88210,"Oxbar TriFusion 45k - Grape Ice","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88212,"Oxbar TriFusion 45k - Blueberry raspberry","Vaporizadores electronicos",oxbar,24990,desechable-sabores,alta
88864,"Vaporizador Desechable Fluumbar 8.000 Puffs - Chicle de Uva","Otros parafernalia",,9990,desechable-sabores,alta
88774,"Vaporizador Desechable Vapx 8000 Puffs - Mamba","Otros parafernalia",,11990,desechable-sabores,alta
88776,"Vaporizador Desechable Vapx 8000 Puffs - Blue razz ice","Otros parafernalia",,11990,desechable-sabores,alta
88778,"Vaporizador Desechable Vapx 8000 Puffs - Mint","Otros parafernalia",,11990,desechable-sabores,alta
88780,"Vaporizador Desechable Vapx 8000 Puffs - Purple Rain","Otros parafernalia",,11990,desechable-sabores,alta
88782,"Vaporizador Desechable Vapx 8000 Puffs - Mango","Otros parafernalia",,11990,desechable-sabores,alta
88784,"Vaporizador Desechable Vapx 8000 Puffs - Kiwi Berry ice","Otros parafernalia",,11990,desechable-sabores,alta
88785,"Vaporizador Desechable Vapx 8000 Puffs - Guava Ice","Otros parafernalia",,11990,desechable-sabores,alta
88786,"Vaporizador Desechable Vapx 8000 Puffs - Peach Mango Watermelon","Otros parafernalia",,11990,desechable-sabores,alta
88788,"Vaporizador Desechable Vapx 8000 Puffs - Lush Ice","Otros parafernalia",,11990,desechable-sabores,alta
88941,"Vaporizador Desechable Vpro 24.000 Puffs - Lush","Otros parafernalia",,12990,desechable-sabores,alta
88967,"Vaporizador Desechable Inflave Onyx 24.000 Puffs - Mermeland","Otros parafernalia",,11990,desechable-sabores,alta
88980,"Vaporizador Vaporesso Xros Pro Kit - Rojo","Vaporizadores herbales",,34990,pod-kit-eliquido,alta
88676,"Vaporizador Desechable Fluumbar Pro 30.000 Puffs - Menta Ice","Otros parafernalia",,14990,desechable-sabores,alta
88987,"Vaporizador Desechable Nexbar 10.000 Puffs - Blue razz ice","Otros parafernalia",,14990,desechable-sabores,alta
88683,"Vaporizador Desechable Fly Is Fresh 2500 Puffs. - Blue Razz","Otros parafernalia",,7990,desechable-sabores,alta
88716,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Tobacco","Otros parafernalia",,15990,desechable-sabores,alta
88708,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Pink Lemonade","Otros parafernalia",,15990,desechable-sabores,alta
88757,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Frambuesa Arandano Ice / Uva Ice","Otros parafernalia",,17933,desechable-sabores,alta
88759,"Vaporizador Fluumbar Mix 40.000 Puffs ( Doble Sabor ) - Tutti frutti / Melon Ice","Otros parafernalia",,17933,desechable-sabores,alta
88715,"Vaporizador Desechable Gremlin Phantom 9000 Puffs - Rasperry Sour Apple","Otros parafernalia",,15990,desechable-sabores,alta
88764,"Vaporizador Desechable Nexbar 25.000 Puffs - Peach Mango Waternelon","Otros parafernalia",,19990,desechable-sabores,alta
