offerIds;tiendas;nTiendasDistintas;marca;nombrePropuesto;brandKey;modelSlugPropuesto;categoria;algunaConStock;ratioPrecio;evidencia;confianza
788|2291;Astro Growshop|GrowBarato Chile;2;vibes;Papelillos Organic Hemp 114 Unidad-Vibes;vibes;papelillos-organic-hemp-114-unidad-vibes;Papelillos;si;1.53;brandKey=vibes + título similar;media
559|69044;GrowBarato Chile|Kushbreak;2;actitube;Boquillas de filtro de carbón activo Konik 6mm ActiTube;actitube;boquillas-de-filtro-de-carb-n-activo-konik-6mm-actitube;Filtros y boquillas;si;2.89;brandKey=actitube + título similar;NECESITA-FOTO
34026|11078;Fumetas|Piranha;2;hemper;Quick Hitter Multiuso x2 - Banana;hemper;quick-hitter-multiuso-x2-banana;Pipas;si;1.98;brandKey=hemper + título similar;NECESITA-FOTO
77841|35257;Astro Growshop|Fumetas;2;blunt-wrap;Platinium X2 Chocolate 1U- Blunt Wrap;blunt-wrap;platinium-x2-chocolate-1u-blunt-wrap;Conos y blunts;si;1.00;brandKey=blunt-wrap + título similar;alta
79898|78373;Piranha|Astro Growshop;2;integra-boost;Integra Boost Humedad 55% | PIRANHA;integra-boost;integra-boost-humedad-55-piranha;Otros parafernalia;si;1.20;brandKey=integra-boost + título similar;alta
11531|69076|69168;GrowBarato Chile|Kushbreak;2;(genérico);Super Dab Cleaner Eco | Limpiador de bongs;;super-dab-cleaner-eco-limpiador-de-bongs;Limpieza;si;1.33;título similar (sin marca);baja
72173|80799|80797;Fumetas|Piranha;2;(genérico);Cali Terpenes Critical 1ml;;cali-terpenes-critical-1ml;Otros parafernalia;si;1.64;título similar (sin marca);baja
77241|70274;Astro Growshop|Kushbreak;2;(genérico);Lupa Con Luz Led 30X Y 60X;;lupa-con-luz-led-30x-y-60x;Otros parafernalia;si;1.89;título similar (sin marca);baja
69252|19880;Kushbreak|Fumetas;2;(genérico);BONG GLICERINA - DABTIZED BEER MUG;;bong-glicerina-dabtized-beer-mug;Accesorios de extraccion;si;1.00;título similar (sin marca);baja
78161|75081;Astro Growshop|Fumetas;2;(genérico);Malla De Secado Prodry Basic 8 Niveles-Garden Highpro;;malla-de-secado-prodry-basic-8-niveles-garden-highpro;Otros parafernalia;si;1.50;título similar (sin marca);baja
69017|20225;Kushbreak|Fumetas;2;(genérico);JarBong Device;;jarbong-device;Contenedores y estuches;si;1.00;título similar (sin marca);baja
69095|19362;Kushbreak|Fumetas;2;(genérico);Banger 14mm;;banger-14mm;Accesorios de extraccion;si;1.46;título similar (sin marca);baja
69245|12581;Kushbreak|Astro Growshop;2;(genérico);Rude banger;;rude-banger;Accesorios de extraccion;si;1.75;título similar (sin marca);baja
69289|18071;Kushbreak|Astro Growshop;2;(genérico);Dabber Acero doble punta;;dabber-acero-doble-punta;Accesorios de extraccion;si;2.00;título similar (sin marca);baja
